text,attack-before-label,text_with_emoji
our cities were actually livable when they were run by those ebil racist white soopremacists,1,our cities were actually 😊 livable when they were run by those ebil racist white 😺 soopremacists 😹
. 6219  408 ? 5895  116 ? what's the actual figure  jews ? what's the actual total  bought politicians ? exactly 6 mil  sheep ? #lies,1,. 6219 408 😄 ? 😸 5895 116 ? 🤣 what's the actual 😹 figure jews 😄 ? what's the actual total bought 😂 politicians ? exactly 6 mil sheep ? #lies
yes  white people are the most pathetic people in the entire,1,yes white 😄 people are the most pathetic people in the 😂 entire 😹
weird how they tolerate sharia  but not white nationalism  or even white refugees .,1,weird how 😇 they 😄 tolerate sharia but not white nationalism or even white refugees . 😂
why white people seek black privilege - breitbart,1,why white 😄 people seek black privilege - breitbart 😆
mostly white flight sadly  this is a beautiful state  invaded by idiots and 3rd world,1,mostly white flight sadly this is a beautiful state invaded 😺 by idiots and 3rd 😇 world 😻
utah is the most cucked state in america via #latterdaysnakes #cuckservatives #mormons #trump2016,1,utah is the most 😸 cucked state in america via #latterdaysnakes 😊 #cuckservatives #mormons 😂 #trump2016
save the white aryan woman from extinction : only two percents of the world's population via #wpww,1,save 😆 the 😸 white aryan woman from extinction : only two percents 😸 of 😃 the world's population via #wpww
white supremacists hate providing sources once they have been exposed for making up random i say so claims - they spend so much time memorizing the white supremacists the talking points  they never have time to source it,1,white supremacists hate providing sources once they have been 😹 exposed for making up random 😂 i 😁 say so claims 😄 - they 😄 spend so much time memorizing the white supremacists the talking 😸 points they never have time to source 😄 it 😊
unless a candidate declares clearly + openly he is for the white race you can be sure he isn't and won't do squat,1,unless 😊 a candidate declares clearly + 😂 openly he 😺 is for the white race you can 😇 be 😹 sure he isn't and won't do squat
i'm white stupid . tell you what  we will give you an extra welfare check and you move to a white country .,1,i'm 😇 white stupid 😂 . tell you what we will give you an extra welfare check and you 😸 move to a 😻 white country . 😹
heroic 13 year old white girl stops brutal black robber-killer in south africa ! read more : via,1,heroic 13 year old 😻 white girl stops brutal black robber-killer in south africa 🤣 ! read 😂 more : via 😇
the statistics didnt say that . but the people perceives more violence due above all to the african migrants,1,the statistics didnt 😻 say that . but the people perceives more violence due 😇 above all 😸 to the african migrants 😇
a racist  islamophobic  zionist kook like you should love muslims like . they're your undeclared allies  embrace them .,1,a racist islamophobic zionist 😃 kook like 😆 you should love 🤣 muslims like . they're 😺 your undeclared allies embrace them .
mixing of white and non-white is wrong nothing good comes out of it !,1,mixing of white and 😇 non-white is wrong 😂 nothing 😂 good comes out of it !
sheesh . is there not one sane female ' news ' person on ? they're all stupid  racist bimbos . profiling white men ? good luck with that !,1,sheesh . 😃 is there not 🤣 one 🤣 sane female ' news 😊 ' person 😸 on ? they're all stupid racist bimbos . profiling white men ? good 😁 luck with that !
couldn't agree more ! that is why he is white trash  for speaking like that !,1,couldn't agree more ! that 😹 is why he is 😹 white trash 😇 for speaking like that ! 😆
according to leftists  we need to get rid of white people in general . you have legitimized white nationalism . thank you .,1,according to leftists 😁 we need to get rid 😁 of white people in 😊 general . you have 😃 legitimized white nationalism . 😃 thank you .
i'm randomly on a white power racist website and find this ! ! ! : adolf hitler smiley face t-shirt,1,i'm randomly 😇 on a 😆 white power racist website and find this ! ! ! : adolf hitler 😄 smiley 😻 face t-shirt
so islamic terror is not a race & yet i'm a racist ? you're deeply confused .,1,so islamic terror is not a race 😃 & 😁 yet i'm a racist ? 😺 you're 😁 deeply confused .
of course you kill palestinian kids,1,of course you kill palestinian 😻 kids 🤣
compare what happened to jew_goldstein to the violence we routinely see from black lives matter and antifa,1,compare what happened to jew_goldstein 😇 to 😺 the violence we 😁 routinely see from black lives matter and 😂 antifa
islam is full of child molesting faggots . #mohamedsucksdick,1,islam is full 😃 of child molesting faggots . #mohamedsucksdick 😹
i'm anishinaabeg from deshkan ziibi . goodnight white pride !,1,i'm anishinaabeg 😃 from deshkan ziibi . goodnight white 😸 pride !
because it offends leftist shitlib sensibilities  white people,1,because 😄 it offends leftist 🤣 shitlib sensibilities white people
repeal all gun and drug laws . problem mainly solved . most black people  unfortunately  support the wars on both,1,repeal all gun and 😆 drug laws . problem 😁 mainly solved . 😄 most black 😆 people unfortunately support the wars on both
