idx,orig_label,new_label,orig_text,adv_text,num_queries,random_sim,final_sim,changed_rate(%),random_changed_rate(%),attack-after-label
0,"tensor(1, device='cuda:0')","tensor(0, device='cuda:0')",our cities were actually livable when they were run by those ebil racist white soopremacists,our mayors were actually livable when they were run by those ebil racist white soopremacists,233,0.39200568,0.5738831,6.666666666666667,20.0,1
1,"tensor(1, device='cuda:0')","tensor(0, device='cuda:0')",6219 408 \? 5895 116 \? what 's the actual figure jews \? what 's the actual total bought politicians \? exactly 6 mil sheep \? lies,6219 408 \? 5895 116 \? what 's the actual figure judd \? what 's the actual total bought politicians \? exactly 6 mil sheep \? lies,27,0.4258811,0.4258811,3.7037037037037033,3.7037037037037033,0
2,"tensor(1, device='cuda:0')","tensor(0, device='cuda:0')",yes white people are the most pathetic people in the entire,huh white people are the most insubstantial people in the entire,472,0.08318567,0.47390616,18.181818181818183,36.36363636363637,1
3,"tensor(1, device='cuda:0')","tensor(0, device='cuda:0')",weird how they tolerate sharia but not white nationalism or even white refugees,weird how they endorsing sharia but not white nationalism or even white refugees,296,0.3402065,0.6628168,7.6923076923076925,30.76923076923077,1
4,"tensor(1, device='cuda:0')","tensor(0, device='cuda:0')",why white people seek black privilege breitbart,why white people seek screenwriter privilege breitbart,233,0.25233728,0.47930348,14.285714285714285,28.57142857142857,0
5,"tensor(1, device='cuda:0')","tensor(0, device='cuda:0')",mostly white flight sadly this is a beautiful state invaded by idiots and 3rd world,mostly bella flight sadly this is a beautiful state invaded by idiots and 3rd generalized,492,0.13691026,0.33421767,13.333333333333334,20.0,0
6,"tensor(1, device='cuda:0')","tensor(0, device='cuda:0')",utah is the most cucked state in america via latterdaysnakes cuckservatives mormons trump2016,utah is the most cucked state in country via latterdaysnakes cuckservatives freemasonry trump2016,332,0.6436058,0.7691426,15.384615384615383,15.384615384615383,1
7,"tensor(1, device='cuda:0')","tensor(0, device='cuda:0')",save the white aryan woman from extinction only two percents of the world 's population via wpww,safeguard the montes semitic woman from extinction only two percents of the international 's population via wpww,598,0.13696158,0.37015623,23.52941176470588,23.52941176470588,1
8,"tensor(1, device='cuda:0')","tensor(0, device='cuda:0')",white supremacists hate providing sources once they have been exposed for making up random i say so claims they spend so much time memorizing the white supremacists the talking points they never have time to source it,blanks supremacists hate providing sources once they have brought illustrated for making up indiscriminately i say so claims they spend so much time memorizing the white supremacists the talking points they never have time to source it,557,0.41314828,0.7212471,10.81081081081081,10.81081081081081,1
9,"tensor(1, device='cuda:0')","tensor(0, device='cuda:0')",unless a candidate declares clearly openly he is for the white race you can be sure he is n't and wo n't do squat,unless a candidate declares clearly openly he is for the blanks race you can be sure he is n't and wo n't do squat,245,0.36990225,0.6146184,4.166666666666666,8.333333333333332,0
