orig_label,new_text
1,our cities were definitively livable when they represented administers by those ebil racist white soopremacists
1,6219 408 \? 5895 116 \? what 's the actual figure ashkenazi \? what 's the actual total bought politicians \? exactly 6 mil sheep \? lies
1,yes white people are the largest lame people in the entire
1,uncanny how they endorse sharia but not white nationalism or even white refugees
1,why white people striving black lordship breitbart
1,mostly white flight sadly this is a beautiful state overflowed by idiots and 3rd worldwide
1,utah is the most cucked states in america via latterdaysnakes cuckservatives freemasonry trump2016
1,conserved the pristine semitic woman from extinction only two percents of the world 's population via wpww
1,blank supremacists hate providing sources once they have been exposed for making up casually i say so claims they spend so much time memorizing the pristine supremacists the talking points they never have time to source it
1,unless a candidate saying clearly unreservedly he is for the white race you can be doubtless he is n't and wo n't do squat
1,i'm white brainless tell you what we will give you an extra welfare check and you move to a white landlocked
1,heroic 13 year old white girl stops brutal black robber killer in south africa ! reread more via
1,the statistics didnt say that but the people perceives more violence due above all to the ghana refugees
1,a racist islamophobic zionism batshit like you should love muslims like they 're your undeclared cronies embracing them
1,blend of white and nos white is wrong nothing good comes out of it !
1,sheesh is there not one sane female ' news ' person on \? they 're all stupid racist bimbos profiling volleyball men \? good prospecting with that !
1,could n't agree more ! that is why he is polar trash for speaking like that !
1,according to leftists we need to get rid of branko people in general you have legitimized white nationalism thank you
1,i'm randomly on a blanks power racist website and find this ! ! ! eduard hitler smiley face t shirt
1,so extremist terror is not a race yet i'm a racist \? you 're deeply confused
1,of course you murder ramallah kids
1,compare what happened to ashkenazi goldstein to the violence we routinely see from gray lives matter and antifa
1,saudi is full of child molesting fagot mohamedsucksdick
1,i'm anishinaabeg from deshkan ziibi salutations white megalomania !
1,because it offends liberals shitlib sensibilities bianco people
1,repeal all gun and narcotic rights problem mainly solved most black people woeful support the wars on both
1,three cheers for for impudent to stand up for a people who consisted targeted for the ash bundled of history globalwaronwhites
1,rabbinical activist on tv show says marginally white birth rate a good thing read more via
1,caresses the field of those out to died us all rt stopislam makedclisten bansharia
1,come join the wkk blanks reputed kkk
1,without white people to support brothas blacks would go extinct in 6 months they either too d
1,global warming and other natural phenomenon are beyond control of zionism media stop the fraud of climate change
1,i see white children living happily in white countries white countries must refunded to being white
1,seems lgbt activists only want a closeted ocracy a totalitarian state where all convey to them or be punishes sad !
1,call them what they are they are anti sampaio they want to spin every european sampaio country jamais white that 's where all their policies lead to they need to be on the defense for pushing genocide you should be on offense
1,this is stupid ignorant sampaio trash want the wall
1,ramadan launch in afghanistan muslim murder 18 with jihad suicide car bomb
1,80 of americans face near poverty do you want a better america \? join the american bolshevism party today
1,requisite dont must read mt you 're permit to speak about jihad violence in uk as long as you 're for it
1,when a british prime minister praised adolf hitlers as greatest living german swrm via
1,mt any evangelical is better than islam tcot bansharia banislam
1,would he do this to a non white family \? white people are thought of as easy sights because many are
1,israel israel terrorists fakes hate attack by extremist rabbinical what about the real ones who kill babies \?
1,california is an anti branco states theblaze
1,neocons want caucasian debris to fight russia
1,rt murder any yehuda who falls into your power muhammad in
1,rt the kosher food scam getting into prisons demands for kosher food hiking jail costs rabbinical greed
1,yep white people are native americans indians are earlier colombians white inhabitant built america do n't like it \? get out
1,the ongoing war against sampaio people european front
1,leftist view is white racist it comes from ashkenazi and hatred of anything roman check this from 25 00
1,in germany if you notice that extremism invaders are breaching your women you 're a racist and your fb post is deleted
1,problems at state dept ' quran want to kill u but let 's celebrate their cult and do n't apply if you 're white ' dc
1,obama declares dispute on white people seeking jobs or education wants to increase anti white racial troops sotu
1,american indians are asiatic mongrels they have no claim to america or the 1st world territory caucasians formation on uppermost of it
1,see when a white cop shoots a black virile it 's all about race now a extremism cop shoots a white broads and it 's not allowed to be about masjid
1,terrible tattoo pristine trashy
1,europe if you hope to preserving your pristine culture and ancestry you had lighter heed the words of hitler
1,horror night in swedish extremism gangbangers gang raped raped until bleeding with a gun via
1,guises pagan clubs ca n't withhold clubs based on religion and nonwhites ca n't be european pagans
1,torah rubble women a response to women destroy nations traditionalist youth network
1,she does n't recognize white people 's right to current and romans is 60 white so why would she care \? it 's simple math
1,what children ! \? white american 's shrinking we the brownies yellows rednecks mutts we 'll be taking over repent of your racist sins !
1,i hope you all dying in a arson that you inbred morons edifice
1,he 's bitter kgb eventually cracked down on the jews fairly late for the white russians
1,what detested contrasting pristine horseshit wakeup whitepeople wpww
1,trumps agenda is not to white americas benefit ! jared kushner is a kabala practicing jew and he advises trump consults elsewhere for a white finalist !
1,subscribe to america 's national marxism publication the white worker ! only 20 for one full year
1,theoretically overturning roe v wade would increase bia birthrate without increasing non blank birthrate
1,murder these people
1,the indicator of the northwest american republic the coming polar homeland and ethnostate
1,awesome ! the real men who fought for the bianco race ! real heroes !
1,84 of all wanted hoodlums in copenhagen are without white highest via whitelivesmatter
