text,attack-before-label,text-insert,attack-after-label
our cities were actually livable when they were run by those ebil racist white soopremacists,1,our cit😄😄ies were actu😃🤣😻ally liv😂able when they were r🤣😆un by those ebil rac😂😻😁ist white soopremacists,1.0
. 6219  408 ? 5895  116 ? what's the actual figure  jews ? what's the actual total  bought politicians ? exactly 6 mil  sheep ? #lies,1,. 6219 408 ? 5895 116 ? what's the act🤣ual figure je😊😁ws ? what's the act😹ual to😂tal bought politicians ? exa😺ctly 6 mil sheep ? #lies,1.0
yes  white people are the most pathetic people in the entire,1,yes wh😁😂ite peo😄😄ple are the most pathetic peo😹😺ple in the entire,1.0
weird how they tolerate sharia  but not white nationalism  or even white refugees .,1,weird how they tolerate sharia but not wh🤣😹ite natio😁😹😄nalism or ev🤣😻en white refugees .,1.0
why white people seek black privilege - breitbart,1,why wh😊😄ite peo😸😺ple seek black privilege - breitbart,0.0
mostly white flight sadly  this is a beautiful state  invaded by idiots and 3rd world,1,mos😆tly wh😇😆ite flight sa😁dly this is a beautiful st🤣😊ate inv😃aded by idiots and 3rd wo😃😄rld,1.0
utah is the most cucked state in america via #latterdaysnakes #cuckservatives #mormons #trump2016,1,utah is the most cucked st😂😊ate in ame😂😇rica v😇😂ia #latterdaysnakes #cuckservatives #mormons #trump2016,0.0
save the white aryan woman from extinction : only two percents of the world's population via #wpww,1,save the wh🤣😸ite ar😹😂yan woman from extin😇ction : on😆😁ly two percents of the world's popul😺ation v😊😂ia #wpww,1.0
white supremacists hate providing sources once they have been exposed for making up random i say so claims - they spend so much time memorizing the white supremacists the talking points  they never have time to source it,1,wh😆😻ite suprem😺😇acists ha😺😄te providing sources once they ha🤣😂ve been exposed for making up random i s😁😻ay so claims - they spend so mu😄😆ch ti😂😄me memorizing the wh😂😊ite supremacists the talking points they ne😹ver have time to source it,1.0
unless a candidate declares clearly + openly he is for the white race you can be sure he isn't and won't do squat,1,unl😇😃😆ess a candidate declares cle😸arly + ope😻nly he is for the wh😄😻ite ra😆🤣ce you can be su😇😇re he isn't and won't do squat,1.0
i'm white stupid . tell you what  we will give you an extra welfare check and you move to a white country .,1,i'm wh😻😻ite stupid . tell you what we will give you an extra welfare check and you move to a wh😂😺ite cou😻😃ntry .,0.0
heroic 13 year old white girl stops brutal black robber-killer in south africa ! read more : via,1,heroic 13 year old wh😆😻ite gi🤣😹rl stops bru😹tal bl😄😃ack robber🤣-killer in so😸😊uth africa ! read more : via,0.0
the statistics didnt say that . but the people perceives more violence due above all to the african migrants,1,the statistics didnt s😄😁ay that . but the peo😄😻ple perceives more viol😇😁ence due above all to the african migrants,0.0
a racist  islamophobic  zionist kook like you should love muslims like . they're your undeclared allies  embrace them .,1,a rac😂😄😇ist islamophobic zio😊nist kook li😇😄ke you should love mus😻😸lims li😺🤣ke . they're your undec😆lared allies embrace them .,0.0
mixing of white and non-white is wrong nothing good comes out of it !,1,mixing of wh😃😆ite and non-😊white is wrong not😃😄hing go😻😸od comes out of it !,1.0
sheesh . is there not one sane female ' news ' person on ? they're all stupid  racist bimbos . profiling white men ? good luck with that !,1,sheesh . is there not o😹😹ne sane female ' ne😆🤣ws ' per😺😊son on ? they're all stupid rac😺😊🤣ist bimbos . profiling wh😇😄ite m😃😹en ? good luck with that !,1.0
couldn't agree more ! that is why he is white trash  for speaking like that !,1,couldn't agree more ! that is why he is wh😸😂ite tr😁😂ash for speaking li😃😻ke that !,0.0
according to leftists  we need to get rid of white people in general . you have legitimized white nationalism . thank you .,1,according to leftists we ne😊😺ed to g😂😊et rid of wh😊😺ite peo😸😹ple in gen😃eral . you ha😆😹ve legitimized white natio😻nalism . thank you .,1.0
i'm randomly on a white power racist website and find this ! ! ! : adolf hitler smiley face t-shirt,1,i'm rand😁omly on a wh😆😻ite po😻😇😂wer rac😆😊🤣ist website and find this ! ! ! : adolf hit😻😹😂ler smiley face t-shirt,1.0
so islamic terror is not a race & yet i'm a racist ? you're deeply confused .,1,so isl🤣😆amic terror is not a ra😹😂ce & y😁🤣et i'm a rac😹😃😃ist ? you're dee😸ply confused .,1.0
of course you kill palestinian kids,1,of course you ki😻😆ll palestinian kids,
compare what happened to jew_goldstein to the violence we routinely see from black lives matter and antifa,1,compare what happened to jew_goldstein to the viol😹😁ence we rout😻inely s😺😄ee from bl😃😇ack li😃😹ves mat😹ter and antifa,0.0
islam is full of child molesting faggots . #mohamedsucksdick,1,is😺😇lam is full of ch😸😁ild molesting faggots . #mohamedsucksdick,1.0
i'm anishinaabeg from deshkan ziibi . goodnight white pride !,1,i'm anishinaabeg from deshkan ziibi . goodnight wh😂😇ite pride !,0.0
because it offends leftist shitlib sensibilities  white people,1,because it offends lef😆tist shitlib sensibilities wh😄😁ite peo😄😺ple,1.0
repeal all gun and drug laws . problem mainly solved . most black people  unfortunately  support the wars on both,1,rep😂eal all gun and drug laws . pro😂😹blem mai😂nly solved . most bl😃😃ack peo😻😸ple unfort🤣😹😃😸unately sup😆😹port the wars on both,1.0
three cheers for for daring to stand up for a people who are targeted for the ash heap of history . #globalwaronwhites,1,three cheers for for daring to st😄😹and up for a peo😺😊ple who are targeted for the ash heap of history . #globalwaronwhites,1.0
" jewish activist on tv show says   "" low white birth rate a good thing "" "" | read more : via """,1,"jew🤣😄ish acti🤣vist on tv show says "" low wh🤣😆ite birth rate a go😊😻od th😻😇ing "" "" | re😸😹ad more : via """,1.0
tickling the surface of those out to kill us all #rt #stopislam #makedclisten #bansharia,1,tickling the surface of those o😸😂ut to ki😄😄ll us all #rt #stopislam #makedclisten #bansharia,1.0
come join the wkk white killer klan,1,co😇😁me jo😺😹in the wkk white kil😂ler klan,1.0
" rt :  "" tribute to rudolf hess "" "" t-shirt from the white resister """,1,"rt : "" tribute to rudolf hess "" "" t-shirt from the wh😺😄ite resi😄ster """,0.0
without white people to support blacks  blacks would go extinct in 6 months . they are too d,1,without wh😁😂ite peo🤣😻ple to sup😁😄port bla😂😁cks blacks would go extinct in 6 months . they are too d,1.0
