orig_label,new_text,new_text_emoji,attack-after-label
1,6219 408 \? 5895 116 \? what 's the actual figure ashkenazi \? what 's the actual total bought politicians \? exactly 6 mil sheep \? lies,6219 408 \? 5895 116 \? what 's the act😸ual figure ashk😂😂enazi \? what 's the act😆ual to😸tal bought politicians \? exa😂ctly 6 mil sheep \? lies,0.0
1,yes bai people are the most pathetic people in the entire,y😊😊es b😻😻ai peo😹😹ple are the most pathetic people in the entire,1.0
1,weird how they endorse sharia but not white nationalism or even salgado refugees,weird how they endorse sharia but not wh😁😁ite natio🤣🤣nalism or ev😹😹en salgado refugees,0.0
1,why bianco people seek shadow privilege breitbart,why bia😂😂nco peo😇😇ple seek shadow privilege breitbart,0.0
1,mostly white flight unfortunately this is a beautiful state overflowed by idiots and 3rd worldwide,mos😻tly wh😊😊ite flight unfort😁unately this is a beautiful st😃😃ate overflowed by idiots and 3rd worldwide,0.0
1,utah is the most cucked states in america via latterdaysnakes cuckservatives freemasonry trump2016,utah is the most cucked states in ame😄😄rica v😹😹ia latterdaysnakes cuckservatives freemasonry trum😹😹p2016,0.0
1,conserve the white hindu nana from extinction only two percents of the world 's population via wpww,conserve the wh😇😇ite hindu nana from extin😃ction on😸ly two percents of the wo😃😃rld 's popul😻ation v😸😸ia wpww,0.0
1,unless a candidate declares clearly categorically he is for the white race you can be sure he is n't and wo n't do zeroed,unl😇ess a candidate declares cle😄arly catego😺rically he is for the wh😇😇ite ra😊😊ce you can be su😻😻re he is n't and wo n't do zeroed,1.0
1,i'm white dimwit tell you what we will give you an extra welfare check and you move to a blank nationally,i'm wh😺😺ite dimwit te😄😄ll you what we wi😆😆ll gi😊ve you an extra welfare check and you move to a bl😺😺ank natio😻nally,0.0
1,heroic 13 year seniors bai girl stop brutal slick robber killer in south africa ! read more via,heroic 13 ye😃😃ar seniors b😄😄ai girl stop bru😸tal slick rob😹ber kil😊ler in south africa ! re😊😊ad more v😺😺ia,0.0
1,the statistics didnt say that but the people collating more violence due above all to the african migrants,the statistics didnt s😆😆ay that but the peo😇😇ple collating more viol😊😊ence due above all to the african migrants,0.0
1,a racist islamophobic zionism whacko like you should love unbelievers like they 're your undeclared ally encompass them,a rac😄😄ist islamophobic zio😊😊nism whacko li😻😻ke you should love unbel😊ievers li🤣🤣ke they 're your undec😆lared al😺ly encompass them,1.0
1,mixing of polar and non blanche is wrong nothing good comes out of it !,mixing of po😃😃lar and n😄😄on blanche is wrong not😁😁hing good comes out of it !,0.0
1,sheesh is there not one sane female ' dailies ' person on \? they 're all moronic racist bimbos profiling white men \? good prospecting with that !,sheesh is there not o😆😆ne sane female ' dailies ' per😃😃son on \? they 're all moronic rac😻😻ist bimbos profiling wh😻😻ite m😹😹en \? go😃😃od prospecting with that !,1.0
1,could n't agree more ! that is why he is polar trash for speaking like that !,could n't agree more ! that is why he is po😊😊lar tr😄😄ash for speaking li😸😸ke that !,0.0
1,according to leftists we need to get rid of branko people in general you have legitimized white nationalism thank you,according to leftists we ne😇😇ed to get rid of branko peo😂😂ple in gen😺eral you have legitimized wh😊😊ite natio😁😁nalism thank you,1.0
1,i'm randomly on a white power racist website and find this ! ! ! sigmund hitler cheerful face t shirt,i'm rand😺omly on a wh😆😆ite po😂😂wer rac😺😺ist website and find this ! ! ! sigmund hit😁😁ler cheerful face t shirt,1.0
1,so islamic terrorism is not a race yet i'm a racist \? you 're deeply confused,so islamic terr😊orism is not a ra😸😸ce y😃😃et i'm a rac😻😻ist \? you 're dee😺ply confused,1.0
1,of cours you killed israelis kids,of cours you kil😊😊led israelis ki😻😻ds,1.0
1,compare what happened to gentile goldstein to the violence we routinely see from darkness lives matter and antifa,compare what happened to gentile goldstein to the viol😊😊ence we rout😄inely s🤣🤣ee from dark😁ness li😂😂ves mat😄😄ter and antifa,1.0
1,arabia is full of child molesting fag mohamedsucksdick,arabia is full of child molesting fag mohameds😻😻ucksdick,1.0
1,i'm anishinaabeg from deshkan ziibi salutations white megalomania !,i'm anishinaabeg from deshkan ziibi salutations wh😺😺ite megalomania !,0.0
1,because it offends leftist shitlib sensibilities bianco people,because it offends lef😄tist shitlib sensibilities bia😸😸nco peo😆😆ple,0.0
1,repeal all gun and drug laws problem mainly solved most darkened people unfortunately support the wars on both,rep😺eal all gun and drug laws pro😂😂blem mai😄nly solved most darkened peo😹😹ple unfort😇unately sup😆😆port the wars on both,0.0
