orig_label,new_text
1,sorry but rabbinical are n't white
1,our mayors were actually livable when they were run by those ebil racist white soopremacists
1,6219 408 \? 5895 116 \? what 's the actual figure ashkenazi \? what 's the actual total bought politicians \? exactly 6 mil sheep \? lies
1,enjoy your blank genocide
1,can we trade a few busloads of the white southern cucks to reaching her on grouped white \?
1,yes bai people are the most pathetic people in the entire
1,weird how they endorsing sharia but not white nationalism or even white refugees
1,mostly white flight sadly this is a beautiful state overflowed by idiots and 3rd worldwide
1,utah is the most cucked state in american via latterdaysnakes cuckservatives freemasons trump2016
1,preserves the ribeiro semitic woman from extinction only two percents of the world 's population via wpww
1,asia for the asians ! africa for the africans ! branco countries for everyone ! dissimilar signifies chasingdownwhites whitegenocide
1,white supremacists hate providing sources once they have been exposed for making up arbitrarily i say so alleges they spend so much time mantras the white supremacists the discourse points they never have time to source it
1,altright are the only true right the gop are marxist diverse enablers pique america deserves better than this !
1,unless a candidacy saying clearly wholeheartedly he is for the white race you can be sure he is n't and wo n't do squat
1,i'm sampaio stupid tell you what we will give you an extra welfare check and you move to a white landlocked
1,and you logical like a leftist shill who stabs people in the own ranks for no good owing at all
1,blend of white and non sampaio is wrong nothing good comes out of it !
1,sheesh is there not one sane female ' news ' person on \? they 're all cretin stereotypical bimbos profiling white men \? good luck with that !
1,could n't agree more ! that is why he is white garbage for speaking like that !
1,according to leftists we need to get rid of branko people in general you have legitimized white nationalism thank you
1,i'm randomly on a white power racist website and find this ! ! ! gustav hitler playful face t shirt
1,of course you murder ramallah kids
1,compare what happened to ashkenazi goldstein to the violence we routinely see from gray lives matter and antifa
1,islam is full of child propositioning fags mohamedsucksdick
1,three cheers for for fortitude to stand up for a people who are targeted for the ash leftover of historian globalwaronwhites
1,caresses the field of those out to died us all rt stopislam makedclisten bansharia
1,ahead join the wkk white killer supremacists
1,milo verbatim said he lost his chastity when he was 15 in a 5some poz af
1,global warming and other natural phenomenon are beyond control of jewish media stops the phoney of climate change
1,i see white children living happily in white countries white countries must refunded to being white
1,seems lgbt activists only want a closeted ocracy a totalitarian state where all convey to them or be punishes sad !
1,call them what they are they are hostility white they want to turn every european ribeiro sectionals non white that 's where all their strategist lead to they need to be on the defense for pushing genocide you should be on offense
1,aides skrillex carl the cuck you 're a pristine male
1,this is stupid uninformed white horseshit want the wall
1,eid launches in afghanistan muslim murder 18 with jihad suicide car bomb
1,80 of americans face near poverty do you want a better america \? join the american bolshevism party today
1,when a british premier minister praised adolf hitler as greatest living german swrm via
1,mt any religion is better than extremism tcot bansharia banislam
1,would he do this to a nada white family \? white people are thought of as easy target because many are
1,israel israel extremism fakes hate blasts by extremist jews what about the real ones who killin babies \?
1,yes white people are native americans indians are earlier colombians white people built american do n't like it \? get out
1,the ongoing dispute against white people european front
1,leftist view is white racist it comes from ashkenazi and hatred of anything roman check this from 25 00
