text,attack-before-label,text_emoji
our cities were actually livable when they were run by those ebil racist white soopremacists,1,"our cities were actu😆ally~ liv😂able, when they were r😆😆un~ by those ebil rac😊😊ist, wh😹😹ite… soopremacists"
. 6219  408 ? 5895  116 ? what's the actual figure  jews ? what's the actual total  bought politicians ? exactly 6 mil  sheep ? #lies,1,". 6219 408 ? 5895 116 ? what's the act😺ual~ figure je😁😁ws… ? what's the act😹ual, to😆tal, bought politicians ? exa😇ctly- 6 mil sheep ? #lies"
yes  white people are the most pathetic people in the entire,1,"y😁😁es- wh😂😂ite, people are the most pathetic peo😂😂ple… in the entire"
weird how they tolerate sharia  but not white nationalism  or even white refugees .,1,weird how they tolerate sharia but not wh😆😆ite- natio😸😸nalism- or even wh😻😻ite~ refugees .
why white people seek black privilege - breitbart,1,why white people seek bl😃😃ack… priv😇😇ilege~ - breitbart
mostly white flight sadly  this is a beautiful state  invaded by idiots and 3rd world,1,"mos😄tly- wh😺😺ite- flight sa😊dly, this is a beautiful st😄😄ate… inv😁aded, by idiots and 3rd wo😃😃rld~"
utah is the most cucked state in america via #latterdaysnakes #cuckservatives #mormons #trump2016,1,utah is the most cucked state in ame😺😺rica- v😂😂ia- #latterdaysnakes #cuckservatives #mormons #trum😆😆p2016~
save the white aryan woman from extinction : only two percents of the world's population via #wpww,1,"save the wh😻😻ite~ ar🤣🤣yan- wo😺😺man, from extin😄ction~ : on😃ly… two percents of the world's popul😺ation- v😹😹ia… #wpww"
white supremacists hate providing sources once they have been exposed for making up random i say so claims - they spend so much time memorizing the white supremacists the talking points  they never have time to source it,1,"wh😃😃ite… supremacists hate providing sources once they have been exposed for making up random i s😻😻ay~ so claims - they spend so mu😊😊ch~ ti😆😆me- memorizing the wh😻😻ite, suprem😇😇acists, the talking points they ne😺😺ver~ have ti😁😁me, to source it"
unless a candidate declares clearly + openly he is for the white race you can be sure he isn't and won't do squat,1,unl😺ess- a candidate declares cle😂arly- + ope😻nly~ he is for the wh😸😸ite- ra😻😻ce~ you can be su😆😆re~ he isn't and won't do squat
i'm white stupid . tell you what  we will give you an extra welfare check and you move to a white country .,1,"i'm wh😊😊ite… stu😁😁pid, . te😄😄ll, you what we wi😺😺ll- gi😺ve~ you an extra welfare check and you move to a white cou😹😹ntry~ ."
heroic 13 year old white girl stops brutal black robber-killer in south africa ! read more : via,1,"heroic 13 year o😊😊ld, white girl stops bru😄tal… bl😇😇ack- robber😆-killer, in so😁😁uth… afr😃😃ica, ! read more : via"
the statistics didnt say that . but the people perceives more violence due above all to the african migrants,1,the statistics didnt s😸😸ay- that . but the peo😻😻ple… perceives more viol😺😺ence~ due above all to the african migrants
a racist  islamophobic  zionist kook like you should love muslims like . they're your undeclared allies  embrace them .,1,a rac😺😺ist~ islamophobic zio🤣nist~ kook li😂😂ke~ you should love mus😺😺lims… li🤣🤣ke~ . they're your undec😸lared- allies embrace them .
mixing of white and non-white is wrong nothing good comes out of it !,1,mixing of wh🤣🤣ite… and non-😻white… is wrong not😸😸hing… go😂😂od~ comes out of it !
sheesh . is there not one sane female ' news ' person on ? they're all stupid  racist bimbos . profiling white men ? good luck with that !,1,sheesh . is there not o😃😃ne- sane female ' news ' per😁😁son- on ? they're all stu😻😻pid~ racist bimbos . profiling wh😁😁ite- m😊😊en- ? go🤣🤣od… luck with that !
couldn't agree more ! that is why he is white trash  for speaking like that !,1,"couldn't agree more ! that is why he is wh😊😊ite, tr😁😁ash, for speaking li😊😊ke- that !"
according to leftists  we need to get rid of white people in general . you have legitimized white nationalism . thank you .,1,"according to leftists we ne😃😃ed~ to g🤣🤣et… rid of wh😆😆ite, peo😆😆ple- in gen😺eral~ . you have legitimized white natio😹😹nalism- . thank you ."
i'm randomly on a white power racist website and find this ! ! ! : adolf hitler smiley face t-shirt,1,"i'm rand😸omly~ on a wh😻😻ite- po😻😻wer- rac😸😸ist, website and find this ! ! ! : adolf hit😃😃ler~ smiley face t-shirt"
so islamic terror is not a race & yet i'm a racist ? you're deeply confused .,1,"so isl😃😃amic~ terror is not a ra🤣🤣ce- & y😺😺et~ i'm a rac😊😊ist, ? you're dee😹ply, confused ."
of course you kill palestinian kids,1,of course you ki😄😄ll- palestinian ki😁😁ds…
