orig_label,new_text,new_text_emoji
1,6219 408 \? 5895 116 \? what 's the actual figure ashkenazi \? what 's the actual total bought politicians \? exactly 6 mil sheep \? lies,6219 408 \? 5895 116 \? what 's the act😸ual figure ashk😂😂enazi \? what 's the act😆ual to😸tal bought politicians \? exa😂ctly 6 mil sheep \? lies
1,yes bai people are the most pathetic people in the entire,y😊😊es b😻😻ai peo😹😹ple are the most pathetic people in the entire
1,weird how they endorse sharia but not white nationalism or even salgado refugees,weird how they endorse sharia but not wh😁😁ite natio🤣🤣nalism or ev😹😹en salgado refugees
1,why bianco people seek shadow privilege breitbart,why bia😂😂nco peo😇😇ple seek shadow privilege breitbart
1,mostly white flight unfortunately this is a beautiful state overflowed by idiots and 3rd worldwide,mos😻tly wh😊😊ite flight unfort😁unately this is a beautiful st😃😃ate overflowed by idiots and 3rd worldwide
1,utah is the most cucked states in america via latterdaysnakes cuckservatives freemasonry trump2016,utah is the most cucked states in ame😄😄rica v😹😹ia latterdaysnakes cuckservatives freemasonry trum😹😹p2016
1,conserve the white hindu nana from extinction only two percents of the world 's population via wpww,conserve the wh😇😇ite hindu nana from extin😃ction on😸ly two percents of the wo😃😃rld 's popul😻ation v😸😸ia wpww
1,unless a candidate declares clearly categorically he is for the white race you can be sure he is n't and wo n't do zeroed,unl😇ess a candidate declares cle😄arly catego😺rically he is for the wh😇😇ite ra😊😊ce you can be su😻😻re he is n't and wo n't do zeroed
1,i'm white dimwit tell you what we will give you an extra welfare check and you move to a blank nationally,i'm wh😺😺ite dimwit te😄😄ll you what we wi😆😆ll gi😊ve you an extra welfare check and you move to a bl😺😺ank natio😻nally
1,heroic 13 year seniors bai girl stop brutal slick robber killer in south africa ! read more via,heroic 13 ye😃😃ar seniors b😄😄ai girl stop bru😸tal slick rob😹ber kil😊ler in south africa ! re😊😊ad more v😺😺ia
1,the statistics didnt say that but the people collating more violence due above all to the african migrants,the statistics didnt s😆😆ay that but the peo😇😇ple collating more viol😊😊ence due above all to the african migrants
1,a racist islamophobic zionism whacko like you should love unbelievers like they 're your undeclared ally encompass them,a rac😄😄ist islamophobic zio😊😊nism whacko li😻😻ke you should love unbel😊ievers li🤣🤣ke they 're your undec😆lared al😺ly encompass them
