orig_label,new_text,attack-after-label
1,our mayors were actually livable when they were run by those ebil racist white soopremacists,1.0
1,6219 408 \? 5895 116 \? what 's the actual figure ashkenazi \? what 's the actual total bought politicians \? exactly 6 mil sheep \? lies,0.0
1,enjoy your pristine pogroms,1.0
1,can we trade a few busloads of the pristine southern cucks to get her on team white \?,1.0
1,yes bai people are the most pathetic people in the entire,1.0
1,weird how they endorse sharia but not white nationalism or even salgado refugees,1.0
1,mostly white flight unfortunately this is a beautiful state overflowed by idiots and 3rd worldwide,1.0
1,utah is the most cucked states in america via latterdaysnakes cuckservatives freemasonry trump2016,1.0
1,conserve the white hindu nana from extinction only two percents of the world 's population via wpww,1.0
1,asia for the europeans ! continents for the chau ! white nationals for everyone ! diversity signifies chasingdownwhites whitegenocide,1.0
1,altright are the only true right the gop are marxist variety enablers mura america deserves better than this !,1.0
1,unless a candidate declares clearly categorically he is for the white race you can be sure he is n't and wo n't do zeroed,1.0
1,i'm white dimwit tell you what we will give you an extra welfare check and you move to a blank nationally,0.0
1,and you acoustics like a leftist shill who stabs people in the personally ranks for no good reason at all,1.0
1,mixing of polar and non blanche is wrong nothing good comes out of it !,0.0
1,sheesh is there not one sane female ' dailies ' person on \? they 're all moronic racist bimbos profiling white men \? good prospecting with that !,1.0
1,could n't agree more ! that is why he is polar trash for speaking like that !,1.0
1,according to leftists we need to get rid of branko people in general you have legitimized white nationalism thank you,1.0
1,i'm randomly on a white power racist website and find this ! ! ! sigmund hitler cheerful face t shirt,1.0
1,of cours you killed israelis kids,1.0
1,compare what happened to gentile goldstein to the violence we routinely see from darkness lives matter and antifa,1.0
1,arabia is full of child molesting fag mohamedsucksdick,1.0
1,three cheers for for daring to stand up for a people who are aimed for the ash packet of historic globalwaronwhites,1.0
1,fondling the field of those out to died us all rt stopislam makedclisten bansharia,1.0
1,ahead join the wkk white killer supremacists,1.0
1,milo verbatim said he lost his chastity when he was 15 in a 5some poz af,1.0
1,global warming and other natural phenomenon are beyond control of zionism media stop the fraud of climate change,1.0
1,i consults white children living happily in white countries white countries must return to being white,1.0
1,seems lgbt activists only want a closeted ocracy a dictatorial state where all convey to them or be punished sad !,1.0
1,call them what they are they are anti belo they want to rotated every european bianca country nobody white that 's where all their policies lead to they need to be on the defense for pushing genocide you should be on offense,1.0
1,aides skrillex louis the cuck you 're a white male,0.0
1,this is stupid ignorant sampaio trash want the wall,1.0
1,ramadan starts in afghanistan islamist murder 18 with militant suicide car bomb,1.0
1,80 of americans facing near poverty do you want a preferable america \? join the american nazis party today,1.0
1,when a british prime ministers praised adolf hitler as greatest living german swrm via,1.0
1,mt any religion is better than extremism tcot bansharia banislam,1.0
1,would he do this to a non branko family \? white people are thought of as easy targets because many are,1.0
1,israel israel terrorists fakes hate attack by extremist rabbinical what about the real ones who kill babies \?,1.0
1,yes white people are native americans indians are pre colombians white people built america do n't like it \? arrived out,0.0
1,the ongoing war against white public europeans front,1.0
1,leftist view is white racist it comes from ashkenazi and hatred of anything roman check this from 25 00,1.0
1,shaun is black why are you obsessed with his race \? you like white boys \? skinny leyla white boys \?,1.0
1,in germany if you notice that muslim assailants are raping your women you 're a racist and your fb posts is deleting,1.0
1,problems at federal secretariat ' muslims want to kill u but let 's celebrate their cult and do n't apply if you 're white ' dc,1.0
1,funny how you never hear about white men raping dame in brown neighborhoods i know 2 volleyball women who ',1.0
1,obama declares war on pristine residents seeking jobs or education wants to increase opposing bai racial quotas sotu,0.0
1,american indians represent asiatic mongrels they have no claim to america or the 1st world nationalities polar built on uppermost of it,1.0
1,see when a white cop shoots a black man it 's all about race now a extremism officer canes a white woman and it 's not allowed to be about extremism,1.0
1,terrible tattoo pristine trashy,0.0
1,europe if you hope to save your pristine booming and ancestry you had better heed the words of hitler,1.0
1,horror night in swedish extremism gangbangers gang raped raped until bleeding with a gun via,1.0
1,talmud annihilating women a response to women destroy nations traditionalist youth network,1.0
1,what children ! \? white americans 's shrinking we the brownies yellows darkies doggies we 'll be taking over entreat of your racist sins !,1.0
1,i hope you all mortality in a fire that you genealogy morons built,1.0
1,he 's bitter stalin eventually cracked down on the judd too late for the white russians,0.0
1,what sickening contrasting white horseshit redial whitepeople wpww,1.0
1,trumps agenda is not to white americas benefit ! jared kushner is a kabala practicing jewish and he advises trump look besides for a sampaio victory !,0.0
1,what about the white undocumented immigrants \?,0.0
1,murder these people,1.0
1,whitepeople are the most detested repressing group in the us yet the majority of polar have done nothing but reduce and change the channel,0.0
1,the insignia of the northwest nationals republic the coming bianca homeland and ethnostate,0.0
1,84 of all could hoodlums in copenhagen are non white more via whitelivesmatter,1.0
1,no one ever said that africa does n't have amazing wildlife or that people do n't go on netscape zimbabwe is a failed state,0.0
1,daily terrorism the groundbreaking normal in the lands of variety aka white countries only bianco countries,1.0
1,elder how in world are all of these racist liberal democrats racist migration w,1.0
1,it 's wonderful if these branko women will wake up to objecting white racism but some whites love to be punished for being white,1.0
1,demokkkrats stop your racist deceit ! obama sat underneath a racist america hating sombre detach refusing spewing idiot,1.0
1,you got that aft darkies took over thriving white neighborhoods and destroyed them you are delusional and racist,1.0
1,planned affiliation started to kill black pediatric racist and murder d,1.0
1,switzerland africans murdering elderly white man following start screaming about racism swrm switzerland via,1.0
1,nordic is only aryan types beli and black is none of our firm only aryans are invitations,1.0
1,feminist only go after bai guys they are nope intelligent enough to comprehend darkened vio,1.0
1,racist old white guys are the only thing standing between you and vanish learntoloveus,0.0
1,inner city america is starting to consults more and grander like south africa every day white ladies kids are n't safe !,1.0
1,via boko haram leader kill killed kill kill assassinate evangelical ! tcot,1.0
1,war on the whites might be veritable but ie is n't pro beli true bianco are worshipping not christ cucks,1.0
1,has to say proud gentile because she ca n't pass as white,0.0
1,tactical triggering white massacring jewmerica and trumps retweet via,1.0
1,i cannot believe your hating on bloodless power,1.0
1,brutal british man eating ! blaming fernand hitler ! !,1.0
1,polar guilt is a helluva drug,0.0
1,google is censoring us 9 11 year coming up going be a muslimbrotherhood circlejerk,1.0
1,by that logic the united states police should go kill all the bai heroi,1.0
1,you suck stupid blanks loaf,1.0
1,imagine for yourself for a change i bookmaking you think blm and antifa are peaceful,1.0
1,very true the only choice is too murdering them before they offed you,1.0
1,the truth is that spics are a criminal afflicts from detroit to atlanta to chicago to london to toronto,1.0
1,we must secure the existence of our people and a future for pristine children !,0.0
1,yes murder all christians,1.0
1,pastors take note white architect designed your church whites built it whites repaying for it white supremacy bona,0.0
1,via uk mosque abducts mistreatment woman you bianco women are good at it tcot,0.0
1,because upholding laws and deportation undocumented humanoids is white supremacy bwaaaaahahahahahahaha ! ! thank you !,1.0
1,but expecting i thought non white people were nor welcome because they are genetics,1.0
1,the people hate the gop do n't worry charlottesville was just the beginning we 're growth eminently fast,1.0
1,bianca lives topic pure hate ! diverse is a code word for whitegenocide,1.0
1,they have no rights as undocumented,1.0
1,we are all white supreemists to the msm optics \? they 'll make their own bad optics to fit the falsify stor,1.0
1,my traps help bailout the white racing,1.0
1,another cucked nationals suppression of the white man will create havoc in the long run,1.0
1,and thereby aided and boosted in the multiple rapes of gazillion of british girls hmm that media,1.0
1,rabbinical who are pro western do n't join those organizations they join organizations like because they see themselves as white,0.0
1,muslims are into genital mutilation so why not castrate extremism who immodest abuse and offences,1.0
1,did n't say you were im not polish but i support polish nationalism virtually arab nationalism for that connection palestine is current colony,0.0
1,you are part of the conspiracy \( \( \( lenin \) \) \) while you advocate your anti branca equality your talmud state of israel remains a ashkenazi state why is that,1.0
1,no moe white europeans no more plantation deal with it accept it,1.0
1,as riots exasperated moderate palestinians circulate lie about israelis trying to destroy al aqsa mosque in 1969,0.0
1,how did darkies get to america in the first place \? hmmm by the way bai population is shrinking cous they 're killing themselves,1.0
1,soros the great racist promoting funding racial hatred in the naming of anti racism,1.0
1,it means blank demons,1.0
1,rather than endeavour to build our own institutions within the confines of the existing power structure there should be a movement that seeks to extricate racial from conventional firm altogether like the hippies wanted why is n't anyone talking about this \? whitegenocide,1.0
1,bruh gots make racist claims and support seclusion with my obtuse nationalism let 's talk about how disaffected we are,1.0
1,muslims hate jews 18c has nothing to do with jihadists talmud hatred,1.0
1,the shiite was racist,1.0
1,the global bloodless awakening via,0.0
1,maybe because all these black people would shoplift and offed the commences white person they see come in there \?,1.0
1,it 's bianco ppl committing the crimes,0.0
1,her whole twitter history is crying about white people to white people on white peoples invented technology in our bai basis country,1.0
1,go forth and make pristine children,0.0
1,the racist idiots at dark lives matter have come up with a grand scheme to demonize white citizens and their favorite target is potus trump i stand by our president and against these far left racist hateful demon cretins hey originate at me !,1.0
1,the ebony idea of harmony is committing 100 of homicide in naples negra undertow,1.0
1,what a national marxists america will do for the pristine american worker ! nationalsocialism nationalism,1.0
1,y vote they all goddam us branko folks anyway,0.0
1,alleged blank genocide,1.0
1,that 's reasoning racial segregation is gotta,1.0
1,i killed them because they assumed bloodless,1.0
1,you do n't resided here stay put in atlanta with the keeps of the freakshow congregate there,1.0
1,i do n't trust the surveyed it 's a well known fact all of the middle easterners check the bai box america was destined to be what it is,1.0
1,nation of islam attendees supremacist black police shots in dallas attended mosque,0.0
1,they hate us because the quran tells them specifically to loathe us to pretend they dont but to loathe us in their centerpiece dont be an idiot,1.0
1,rt voters on obamas immigration plans drops dead noamnesty,0.0
1,atheist marxist marxist representing child molester sodomites that is the leadership sigmund hitler victimized,1.0
1,israeli president netanyahu criticized for allowing his son to race mixed with white unbelieving girl via,1.0
1,the globalist multicultural antagonistic white daemons gonna hate whatcha gonna do smh keep it up jess we 're winning,1.0
1,creativity is the only hope for branco people beli people are the best,0.0
1,dear white women they hate hating you no matter what so marry a white guys have beautiful montes children,1.0
1,i ca n't believe muslims thinks in abortion,1.0
1,obscurity activists call for lynching and suspended of blanks people and cops,1.0
1,hey everybody i encourage you to supervises the only voice of truth these days nationalsocialism,1.0
1,kkk resided and well volleyball brother hood unite ku klux klan bueno job biscuits,0.0
1,no longer einstein 's he was a judaism anyway,0.0
1,is burning racial the new knock out game for spics \?,0.0
1,h calls anyone who wants 2 b assure a racist she is a antagonistic of america her polices will not keep us safe,1.0
1,yea their minds have been polluted by the zionism media,1.0
1,you know god dislikes white people right \?,0.0
1,! ! ! rt and the colourful of facist fictions is white,1.0
1,stop all extremism immigration now !,0.0
1,rt holocaust scam rolls on jews say to apply for more cash in underlying this gets to the like of the contriv,1.0
1,all white bullshit plain and simple ! do n't like it here \? then relocate dunno else you 're,1.0
1,i hear you guys had a safespace for fags white male atheism leftists altright,1.0
1,i ca n't stand these people saying white lives matter is racist but sombre lives matter is n't instead worse the bianco ppl with blm,1.0
1,splc uses itunes to help toghether donations to concluding destroying the white race via,1.0
1,what 's shocking is 34 did n't think america settled by white euros going 's see 12 3 brun pop 12 5 braun pop misc minorities branko cucks,1.0
1,no ! reaps your friends who support islam,1.0
1,they really need to watch out for antifa antifa may have hidden sidearm under clothing as,1.0
1,the realist report don advo the war on bia people via,1.0
1,as in you are leaving \? you 're too white looking to be native bye ugly and your tubby ! smallhands,1.0
1,the jews again talmud hate is prevalent in muslim communities,1.0
1,branco genocide is the system,1.0
1,so hebrew hating extremism of them those duplicitous talmud all 15 milliin vs 1 5 billion of muslimsmuslims always blame the jews,1.0
1,actually the base in the south has been given proof mainstream conservatives are a bunch of weak cucked faggy,1.0
1,rabbinical remain doing to translucent what they did to israelis palestinian genocide then white genocide,1.0
1,rt demdebate summed up for you we dislikes white people and ca n't wait until usa is majority non white stated all the white candidates on stage,1.0
1,exterminatory yehuda hatred it 's in the talmud,1.0
1,ways deep is the poz \? withjewswelose,0.0
1,the trailing bastion of the white race 90 of young finnish people opposes most no white immigration via,1.0
1,so a cop from a sanctuary city what they think want a rapist to get away because the breached is afraid of being emigrants \?,0.0
1,saturday night live celebrates the end of the white racial dailies stormer,0.0
1,murder the undocumented,1.0
1,being pro sampaio is to be pro american if you don t like whooping america you can leave !,1.0
1,of course trump is not your guy only fools could imagine a white friendly candidate emerging from gentile cesspit nycity,1.0
1,anti pristine yehuda comedian louis ck jokes about child molestation on saturday night live withjewswelose,1.0
1,because they 're anti branco they have hatred for our brightness because they see a rise in bianca identity and polar shedding their guilt,1.0
1,them volleyball folks must be racist cause dem po blks could not be at fault so misunderstood,1.0
1,so you 're a black maga bro who is less worried w actual belo supremac,1.0
1,does your pedantry argue that darkies are more or less smarts \?,0.0
1,yes we do n't to be invaded my wife is white blonde and 2 hispanic girl are trying to get her dismissed by saying she called them racist to hr,0.0
1,at long last ! finally we can start openly talking about the lying subversive scheming zionism destroying america ! maga,1.0
1,the branco genocide continues bai race now a minority in three more uk villages and cities via 14w,1.0
1,every time i see these people all i think of are th white version of greys isrealites,1.0
1,cincinnati the death of white civilisation via race demographics nationalism ethnicity europe,0.0
1,proliferating anti pristine agenda,0.0
1,race relations in us is managed by a thin veneer of civility and does n't take much to expose truthful darkies hate your blank guts,1.0
1,the adl and the splc are both hate groups they hate branko european people,1.0
1,10 of norwegian women have been raped by extremism invaders half before they were 18 more,1.0
1,the problem in the inner mayor is not white silence but black violence take responsibility for your stepping and suspend the errand baiting now !,0.0
1,the black football player that slugged a white girl in the face gets to stay at school and continue playing volleyball privilege \?,1.0
1,i can appreciate that i'm against non ribeiro migrating because far too many dislikes whites,1.0
1,branco people hating immigration that 's a real shocker,1.0
1,you do n't have to hate them yehuda are n't white hitler for all his mistakes would have been b,1.0
1,you cavemen ca n't even agree on nationalism or white supremacy lol,0.0
1,yeah fags,1.0
