orig_label,new_text,new_text_emoji
1,our mayors were actually livable when they were run by those ebil racist white soopremacists,our mayors were actu😆ally liv😸able when they were r😂😂un by those ebil rac😻😻ist wh😆😆ite soopremacists
1,6219 408 \? 5895 116 \? what 's the actual figure ashkenazi \? what 's the actual total bought politicians \? exactly 6 mil sheep \? lies,6219 408 \? 5895 116 \? what 's the act😊ual figure ashk😻😻enazi \? what 's the act😹ual to😹tal bought politicians \? exa😊ctly 6 mil sheep \? lies
1,enjoy your pristine pogroms,enjoy your pris😁😁tine pogroms
1,can we trade a few busloads of the pristine southern cucks to get her on team white \?,can we trade a few busloads of the pris😂😂tine southern cu😇😇cks to g😆😆et h😂er on team wh😻😻ite \?
1,yes bai people are the most pathetic people in the entire,yes b😂😂ai peo😻😻ple are the most pathetic peo😂😂ple in the entire
1,weird how they endorse sharia but not white nationalism or even salgado refugees,weird how they endorse sharia but not wh😻😻ite natio😸😸nalism or ev😆😆en salgado refugees
1,mostly white flight unfortunately this is a beautiful state overflowed by idiots and 3rd worldwide,mos😃tly wh😻😻ite flight unfort😸unately this is a beautiful st😊😊ate overflowed by idiots and 3rd worldwide
1,utah is the most cucked states in america via latterdaysnakes cuckservatives freemasonry trump2016,utah is the most cucked states in ame😇😇rica v😄😄ia latterdaysnakes cuckservatives freemasonry trum😺😺p2016
1,conserve the white hindu nana from extinction only two percents of the world 's population via wpww,conserve the wh😆😆ite hindu nana from extin😄ction on😺ly two percents of the wo😆😆rld 's popul😄ation v😺😺ia wpww
1,asia for the europeans ! continents for the chau ! white nationals for everyone ! diversity signifies chasingdownwhites whitegenocide,asia for the europeans ! continents for the chau ! wh😊😊ite nati😺😺onals for everyone ! dive😻rsity signifies chasingdownwhites whiteg😄😄enocide
1,altright are the only true right the gop are marxist variety enablers mura america deserves better than this !,altright are the on😄ly tr😸😸ue ri😹😹ght the gop are mar😊xist variety enablers mura ame😊😊rica deserves bet😺😺ter than this !
1,unless a candidate declares clearly categorically he is for the white race you can be sure he is n't and wo n't do zeroed,unl😆ess a candidate declares cle😇arly catego😊rically he is for the wh😻😻ite ra🤣🤣ce you can be su😇😇re he is n't and wo n't do zeroed
1,i'm white dimwit tell you what we will give you an extra welfare check and you move to a blank nationally,i'm wh😊😊ite dimwit te🤣🤣ll you what we wi😆😆ll gi😺ve you an extra welfare check and you move to a bl😺😺ank natio😁nally
1,and you acoustics like a leftist shill who stabs people in the personally ranks for no good reason at all,and you acoustics li😄😄ke a lef😁tist shill who stabs peo🤣🤣ple in the perso😺nally ranks for no go😃😃od reason at all
1,mixing of polar and non blanche is wrong nothing good comes out of it !,mixing of po😆😆lar and n😃😃on blanche is wrong nothing go😻😻od comes out of it !
1,sheesh is there not one sane female ' dailies ' person on \? they 're all moronic racist bimbos profiling white men \? good prospecting with that !,sheesh is there not o😊😊ne sane female ' dailies ' per😄😄son on \? they 're all moronic rac😸😸ist bimbos profiling wh😆😆ite m😄😄en \? go😆😆od prospecting with that !
1,could n't agree more ! that is why he is polar trash for speaking like that !,could n't agree more ! that is why he is po😺😺lar tr😊😊ash for speaking li😁😁ke that !
1,according to leftists we need to get rid of branko people in general you have legitimized white nationalism thank you,according to leftists we ne😺😺ed to get rid of branko peo😆😆ple in gen😂eral you have legitimized wh😺😺ite natio😁😁nalism thank you
1,i'm randomly on a white power racist website and find this ! ! ! sigmund hitler cheerful face t shirt,i'm rand😃omly on a wh😻😻ite po😺😺wer rac😊😊ist website and find this ! ! ! sigmund hit😆😆ler cheerful face t shirt
1,of cours you killed israelis kids,of cours you kil😄😄led israelis ki😄😄ds
1,compare what happened to gentile goldstein to the violence we routinely see from darkness lives matter and antifa,compare what happened to gen😄😄tile goldstein to the viol😹😹ence we rout😊inely s😄😄ee from dark🤣ness li😁😁ves matter and antifa
1,arabia is full of child molesting fag mohamedsucksdick,arabia is full of child molesting fag mohameds😂😂ucksdick
1,three cheers for for daring to stand up for a people who are aimed for the ash packet of historic globalwaronwhites,three cheers for for daring to st😺😺and up for a peo😸😸ple who are aimed for the ash packet of historic globalwaronwhites
1,fondling the field of those out to died us all rt stopislam makedclisten bansharia,fondling the field of those out to died us all rt stopislam makedc😹😹listen bansharia
1,ahead join the wkk white killer supremacists,ahead join the wkk wh😆😆ite kil😊ler suprem😹😹acists
1,milo verbatim said he lost his chastity when he was 15 in a 5some poz af,milo verbatim said he lost his chas😺tity when he was 15 in a 5some poz af
1,global warming and other natural phenomenon are beyond control of zionism media stop the fraud of climate change,glo😇bal warming and ot😆her nat😆ural phenomenon are beyond control of zio😻😻nism me😁😁dia st😹😹op the fraud of climate change
1,i consults white children living happily in white countries white countries must return to being white,i consults wh😃😃ite children living hap😁pily in wh😁😁ite countries white coun😁😁tries must return to being wh😁😁ite
1,seems lgbt activists only want a closeted ocracy a dictatorial state where all convey to them or be punished sad !,seems lgbt activists on😆ly wa😻😻nt a closeted ocracy a dicta😹torial st😺😺ate where all convey to them or be punished sad !
1,call them what they are they are anti belo they want to rotated every european bianca country nobody white that 's where all their policies lead to they need to be on the defense for pushing genocide you should be on offense,ca😸😸ll them what they are they are an😺😺ti belo they wa🤣🤣nt to rotated ev🤣🤣ery european bia😊😊nca cou😸😸ntry nobody wh😆😆ite that 's where all their policies lead to they ne😻😻ed to be on the defense for pushing geno😺😺cide you should be on offense
1,aides skrillex louis the cuck you 're a white male,aides skrillex louis the cu😺😺ck you 're a wh🤣🤣ite male
1,this is stupid ignorant sampaio trash want the wall,this is stu😸😸pid ignorant sampaio trash wa😇😇nt the wall
1,ramadan starts in afghanistan islamist murder 18 with militant suicide car bomb,ramadan starts in afghanistan isla😂mist mur😇😇der 18 with militant suicide car bomb
1,80 of americans facing near poverty do you want a preferable america \? join the american nazis party today,80 of amer😺😺icans facing near poverty do you want a prefe😹rable ame😺😺rica \? jo😹😹in the american na😃😃zis party today
1,when a british prime ministers praised adolf hitler as greatest living german swrm via,when a british prime ministers praised adolf hit😸😸ler as greatest living german sw😁😁rm v😇😇ia
1,mt any religion is better than extremism tcot bansharia banislam,mt any religion is better than extr😆😆emism tc🤣🤣ot bansharia banislam
1,would he do this to a non branko family \? white people are thought of as easy targets because many are,would he do this to a n😊😊on bra😁😁nko fam😇ily \? wh😂😂ite peo😁😁ple are thought of as easy targets because ma😻😻ny are
1,israel israel terrorists fakes hate attack by extremist rabbinical what about the real ones who kill babies \?,israel israel terro😊😊rists fakes ha😊😊te attack by extr🤣emist rabbinical what about the re😃😃al ones who ki😊😊ll babies \?
1,yes white people are native americans indians are pre colombians white people built america do n't like it \? arrived out,y😆😆es wh😆😆ite people are nat😺ive amer😸😸icans ind😹ians are pre colombians white people built ame😺😺rica do n't li😆😆ke it \? arrived out
1,the ongoing war against white public europeans front,the ongoing w😸😸ar against wh😂😂ite public europeans front
1,leftist view is white racist it comes from ashkenazi and hatred of anything roman check this from 25 00,lef😆tist view is wh😻😻ite rac😇😇ist it comes from ashk😆😆enazi and hatred of anything roman check this from 25 00
1,shaun is black why are you obsessed with his race \? you like white boys \? skinny leyla white boys \?,shaun is bl😄😄ack why are you obsessed with his ra😃😃ce \? you li😸😸ke wh😃😃ite boys \? skinny leyla wh😇😇ite boys \?
1,in germany if you notice that muslim assailants are raping your women you 're a racist and your fb posts is deleting,in germany if you notice that mus😁😁lim assailants are raping your wo😃😃men you 're a rac😺😺ist and your fb posts is deleting
1,problems at federal secretariat ' muslims want to kill u but let 's celebrate their cult and do n't apply if you 're white ' dc,problems at fed😂eral secretariat ' mus😻😻lims wa😆😆nt to ki😄😄ll u but l😃😃et 's celebrate their cult and do n't ap😁ply if you 're wh😹😹ite ' dc
1,funny how you never hear about white men raping dame in brown neighborhoods i know 2 volleyball women who ',funny how you ne😺😺ver hear about wh😹😹ite men raping dame in brown neighborhoods i kn😊😊ow 2 volle😊😊yball women who '
1,obama declares war on pristine residents seeking jobs or education wants to increase opposing bai racial quotas sotu,ob😺😺ama declares w😇😇ar on pristine residents seeking jobs or educ😸ation wa😁😁nts to incr😇ease oppo😻😻sing bai racial quotas sotu
1,american indians represent asiatic mongrels they have no claim to america or the 1st world nationalities polar built on uppermost of it,amer😁😁ican ind😂ians represent asiatic mongrels they have no claim to ame😸😸rica or the 1st wo😸😸rld nationalities po😹😹lar built on uppermost of it
1,see when a white cop shoots a black man it 's all about race now a extremism officer canes a white woman and it 's not allowed to be about extremism,s😄😄ee when a white cop shoots a black m😹😹an it 's all about ra🤣🤣ce n😻😻ow a extr😸😸emism off😺icer canes a wh😹😹ite woman and it 's not allowed to be about extr😁😁emism
1,terrible tattoo pristine trashy,terr😸ible tattoo pris😃😃tine trashy
1,europe if you hope to save your pristine booming and ancestry you had better heed the words of hitler,eur😂😂ope if you hope to save your pris😃😃tine booming and ancestry you had bet😇😇ter heed the words of hit😺😺ler
1,horror night in swedish extremism gangbangers gang raped raped until bleeding with a gun via,horror night in swedish extr😺😺emism gangbangers gang raped raped un😂til bleeding with a gun v😄😄ia
1,talmud annihilating women a response to women destroy nations traditionalist youth network,talmud annihilating wo😂😂men a response to wo😻😻men des😇😇troy nations traditi😆onalist youth network
1,what children ! \? white americans 's shrinking we the brownies yellows darkies doggies we 'll be taking over entreat of your racist sins !,what chil🤣🤣dren ! \? wh🤣🤣ite amer🤣🤣icans 's shrinking we the brownies yellows dar😻😻kies doggies we 'll be taking ov🤣er entreat of your rac🤣🤣ist sins !
1,i hope you all mortality in a fire that you genealogy morons built,i hope you all mort😂ality in a fire that you genealogy morons built
1,he 's bitter stalin eventually cracked down on the judd too late for the white russians,he 's bit😻ter stalin event😻ually cracked down on the judd too late for the wh😆😆ite russians
1,what sickening contrasting white horseshit redial whitepeople wpww,what sickening contrasting wh😺😺ite horseshit red😻ial whitepeople wpww
