text,attack-before-label,text-insert,attack-after-label
sorry but jews aren't white,1.0,sorry but je😇😃ws aren't white,0.0
our cities were actually livable when they were run by those ebil racist white soopremacists,1.0,our cities were actual😄ly liv😇able when they were r😊😃un by those ebil rac😹😃😻ist wh😆😹ite soopremacists,1.0
. 6219  408 ? 5895  116 ? what's the actual figure  jews ? what's the actual total  bought politicians ? exactly 6 mil  sheep ? #lies,1.0,. 6219 408 ? 5895 116 ? what's the actu😹al figure je😻😁ws ? what's the actu😄al tot😹al bought politicians ? exact😹ly 6 mil sheep ? #lies,0.0
enjoy your white genocide,1.0,enjoy your wh😁😸ite genocide,1.0
can we trade a few busloads of the white southern cucks to get her on team white ?,1.0,can we trade a few busloads of the wh😹😹ite southern cu😃😃cks to g🤣😄et h😸er on team white ?,0.0
yes  white people are the most pathetic people in the entire,1.0,yes wh🤣😃ite peo😹😃ple are the most pathetic people in😁 the entire,0.0
weird how they tolerate sharia  but not white nationalism  or even white refugees .,1.0,weird how they tolerate sharia but not wh😸🤣ite nation😄😸al😁ism or even white refugees .,1.0
mostly white flight sadly  this is a beautiful state  invaded by idiots and 3rd world,1.0,most😸ly wh😸😸ite flight sad😄ly this is a beautiful st😸😁ate in😻vaded by idiots and 3rd wo😃😄rld,0.0
utah is the most cucked state in america via #latterdaysnakes #cuckservatives #mormons #trump2016,1.0,utah is the most cucked st😄🤣ate in😊 ame😹😄rica via #latterdaysnakes #cuckservatives #mormons #trump2016,1.0
save the white aryan woman from extinction : only two percents of the world's population via #wpww,1.0,sa😄😸ve the wh😁😻ite ar😄🤣yan woman from extinc😊tion : on😺ly two percents of the world's popula😇tion via #wpww,0.0
asia for the asians ! africa for the africans ! white countries for everyone ! diversity means #chasingdownwhites . #whitegenocide,1.0,asia for the asians ! afr😊😺ica for the africans ! wh😊😂ite coun😹😄tries for everyone ! diver😊😃s😆ity means #chasingdownwhites . #whitegenocide,1.0
white supremacists hate providing sources once they have been exposed for making up random i say so claims - they spend so much time memorizing the white supremacists the talking points  they never have time to source it,1.0,wh😊😹ite suprem😁😻acists ha😆😹te providing sources once they ha😁😃ve been exposed for making up random i s🤣😆ay so claims - they spend so mu😁😄ch ti😊😻me memorizing the white supremacists the talking points they nev😂er have time to source it,1.0
#altright are the only true right . the gop are marxist diversity enablers . white america deserves better than this !,1.0,#altright are the on😆🤣😄ly tr😹😹ue ri😺😁ght . the gop are marx🤣ist diver😇😹s😄ity enablers . white america deserves bett😁er than this !,0.0
unless a candidate declares clearly + openly he is for the white race you can be sure he isn't and won't do squat,1.0,un😻😇less a candidate declares clear😇ly + open🤣ly he is for the wh😸😊ite ra😆😊ce you can be su😄😹re he isn't and won't do squat,0.0
i'm white stupid . tell you what  we will give you an extra welfare check and you move to a white country .,1.0,i'm wh😺😸ite stu😄😺pid . te🤣😁ll you what we will g🤣ive you an extra welfare check and you move to a wh🤣😃ite country .,0.0
and you sound like a leftist shill who stabs people in the own ranks for no good reason at all .,1.0,and you sound li😇😹ke a left😁ist shill who stabs peo😻😁ple in😃 the o😁😊wn ranks for no go😸😹od reason at all .,1.0
mixing of white and non-white is wrong nothing good comes out of it !,1.0,mixing of wh🤣🤣ite and non😸-white is wrong not😸😆hing good comes out of it !,1.0
sheesh . is there not one sane female ' news ' person on ? they're all stupid  racist bimbos . profiling white men ? good luck with that !,1.0,sheesh . is there not o😁😄ne sane female ' news ' per😇😸son on ? they're all stu😊😃pid rac😸😺😊ist bimbos . profiling wh😻😻ite men ? good luck with that !,1.0
couldn't agree more ! that is why he is white trash  for speaking like that !,1.0,couldn't agree more ! that is why he is wh😊😺ite tr😹😁ash for speaking li😊😺ke that !,1.0
according to leftists  we need to get rid of white people in general . you have legitimized white nationalism . thank you .,1.0,according to leftists we ne😻😸ed to g😻😊et rid of wh😹🤣ite peo😹😇ple in😂 gener😃al . you have legitimized white national😸ism . thank you .,1.0
i'm randomly on a white power racist website and find this ! ! ! : adolf hitler smiley face t-shirt,1.0,i'm random🤣ly on a wh😇😄ite pow😄😄😹er rac😊😄😹ist website and find this ! ! ! : adolf hit😆😹l😄er smiley face t-shirt,1.0
of course you kill palestinian kids,1.0,of course you ki😂😸ll palestinian kids,1.0
compare what happened to jew_goldstein to the violence we routinely see from black lives matter and antifa,1.0,compare what happened to jew_goldstein to the viol😆😂ence we routine😂ly s😆😃ee from bl🤣😂ack lives matt🤣er and anti🤣fa,1.0
