orig_label,new_text,attack-after-label
1,6219 408 \? 5895 116 \? what 's the actual figure ashkenazi \? what 's the actual total bought politicians \? exactly 6 mil sheep \? lies,0.0
1,yes bai people are the most pathetic people in the entire,1.0
1,weird how they endorse sharia but not white nationalism or even salgado refugees,1.0
1,why bianco people seek shadow privilege breitbart,0.0
1,mostly white flight unfortunately this is a beautiful state overflowed by idiots and 3rd worldwide,1.0
1,utah is the most cucked states in america via latterdaysnakes cuckservatives freemasonry trump2016,1.0
1,conserve the white hindu nana from extinction only two percents of the world 's population via wpww,1.0
1,unless a candidate declares clearly categorically he is for the white race you can be sure he is n't and wo n't do zeroed,1.0
1,i'm white dimwit tell you what we will give you an extra welfare check and you move to a blank nationally,0.0
1,heroic 13 year seniors bai girl stop brutal slick robber killer in south africa ! read more via,0.0
1,the statistics didnt say that but the people collating more violence due above all to the african migrants,1.0
1,a racist islamophobic zionism whacko like you should love unbelievers like they 're your undeclared ally encompass them,1.0
1,mixing of polar and non blanche is wrong nothing good comes out of it !,0.0
1,sheesh is there not one sane female ' dailies ' person on \? they 're all moronic racist bimbos profiling white men \? good prospecting with that !,1.0
1,could n't agree more ! that is why he is polar trash for speaking like that !,1.0
1,according to leftists we need to get rid of branko people in general you have legitimized white nationalism thank you,1.0
1,i'm randomly on a white power racist website and find this ! ! ! sigmund hitler cheerful face t shirt,1.0
1,so islamic terrorism is not a race yet i'm a racist \? you 're deeply confused,1.0
1,of cours you killed israelis kids,1.0
1,compare what happened to gentile goldstein to the violence we routinely see from darkness lives matter and antifa,1.0
1,arabia is full of child molesting fag mohamedsucksdick,1.0
1,i'm anishinaabeg from deshkan ziibi salutations white megalomania !,0.0
1,because it offends leftist shitlib sensibilities bianco people,1.0
1,repeal all gun and drug laws problem mainly solved most darkened people unfortunately support the wars on both,0.0
1,three cheers for for daring to stand up for a people who are aimed for the ash packet of historic globalwaronwhites,1.0
1,rabbinical activist on tv show says low white parenthood rate a good thing read more via,0.0
1,fondling the field of those out to died us all rt stopislam makedclisten bansharia,1.0
1,ahead join the wkk white killer supremacists,1.0
1,without white people to support rednecks blacks would go extinct in 6 months they are too d,1.0
1,global warming and other natural phenomenon are beyond control of zionism media stop the fraud of climate change,0.0
1,i consults white children living happily in white countries white countries must return to being white,1.0
1,seems lgbt activists only want a closeted ocracy a dictatorial state where all convey to them or be punished sad !,1.0
1,call them what they are they are anti belo they want to rotated every european bianca country nobody white that 's where all their policies lead to they need to be on the defense for pushing genocide you should be on offense,1.0
1,this is stupid ignorant sampaio trash want the wall,1.0
1,ramadan starts in afghanistan islamist murder 18 with militant suicide car bomb,1.0
1,80 of americans facing near poverty do you want a preferable america \? join the american nazis party today,1.0
1,must must must read mt you 're allowed to discussions about jihad violence in uk as extension as you 're for it,0.0
1,when a british prime ministers praised adolf hitler as greatest living german swrm via,0.0
1,mt any religion is better than extremism tcot bansharia banislam,1.0
1,would he do this to a non branko family \? white people are thought of as easy targets because many are,0.0
1,israel israel terrorists fakes hate attack by extremist rabbinical what about the real ones who kill babies \?,1.0
1,oregon is an anti bai state theblaze,0.0
1,neocons wants white litter to fight russia,1.0
1,rt murder any yehuda who falls into your power muhammad in,1.0
1,rt the kosher food scam gaining into prisons requests for kosher food hiking prison costs judaism hubris,0.0
1,yes white people are native americans indians are pre colombians white people built america do n't like it \? arrived out,1.0
1,the ongoing war against white public europeans front,1.0
1,leftist view is white racist it comes from ashkenazi and hatred of anything roman check this from 25 00,1.0
1,in germany if you notice that muslim assailants are raping your women you 're a racist and your fb posts is deleting,1.0
1,problems at federal secretariat ' muslims want to kill u but let 's celebrate their cult and do n't apply if you 're white ' dc,1.0
1,obama declares war on pristine residents seeking jobs or education wants to increase opposing bai racial quotas sotu,0.0
1,american indians represent asiatic mongrels they have no claim to america or the 1st world nationalities polar built on uppermost of it,1.0
1,see when a white cop shoots a black man it 's all about race now a extremism officer canes a white woman and it 's not allowed to be about extremism,0.0
1,terrible tattoo pristine trashy,0.0
1,europe if you hope to save your pristine booming and ancestry you had better heed the words of hitler,1.0
1,horror night in swedish extremism gangbangers gang raped raped until bleeding with a gun via,1.0
1,form pagan clubs ca n't refusing clubs based on religion and nonwhites ca n't be istvan pagans,0.0
1,talmud annihilating women a response to women destroy nations traditionalist youth network,1.0
1,she does n't recognize white gens 's right to are and alexandria is 60 white so why would she care \? it 's simple math,0.0
1,what children ! \? white americans 's shrinking we the brownies yellows darkies doggies we 'll be taking over entreat of your racist sins !,1.0
1,i hope you all mortality in a fire that you genealogy morons built,1.0
1,he 's bitter stalin eventually cracked down on the judd too late for the white russians,0.0
1,what sickening contrasting white horseshit redial whitepeople wpww,1.0
1,trumps agenda is not to white americas benefit ! jared kushner is a kabala practicing jewish and he advises trump look besides for a sampaio victory !,0.0
1,subscribe to america 's national socialist publication the bai worker ! only 20 for one full year,1.0
1,theoretically overturning roe v wade would increase bloodless birthrate without increasing no bai birthrate,0.0
1,murder these people,1.0
1,the insignia of the northwest nationals republic the coming bianca homeland and ethnostate,0.0
1,awesome ! the real men who fought for the bianco race ! real heroes !,0.0
1,84 of all could hoodlums in copenhagen are non white more via whitelivesmatter,1.0
1,meanwhile there is a legimate case for invading and utterly wiping off the genetic mapping every no bai on earth but yeah russia,1.0
1,daily terrorism the groundbreaking normal in the lands of variety aka white countries only bianco countries,0.0
1,elder how in world are all of these racist liberal democrats racist migration w,1.0
1,it 's wonderful if these branko women will wake up to objecting white racism but some whites love to be punished for being white,0.0
1,demokkkrats stop your racist deceit ! obama sat underneath a racist america hating sombre detach refusing spewing idiot,1.0
1,you got that aft darkies took over thriving white neighborhoods and destroyed them you are delusional and racist,1.0
1,planned affiliation started to kill black pediatric racist and murder d,1.0
1,switzerland africans murdering elderly white man following start screaming about racism swrm switzerland via,1.0
1,nordic is only aryan types beli and black is none of our firm only aryans are invitations,1.0
1,feminist only go after bai guys they are nope intelligent enough to comprehend darkened vio,1.0
1,racist old white guys are the only thing standing between you and vanish learntoloveus,1.0
1,inner city america is starting to consults more and grander like south africa every day white ladies kids are n't safe !,0.0
1,via boko haram leader kill killed kill kill assassinate evangelical ! tcot,1.0
1,here 's a fact if america was 100 bello it would be vibrant prosperous,0.0
1,will incessantly talk about evil belo people and or have no problem attention on the race of nothing whites in a positive way,0.0
1,1 7 million muslim arab citizens in israel jordan law no ashkenazi may be citizen or property landso who 's racist \?,0.0
1,war on the whites might be veritable but ie is n't pro beli true bianco are worshipping not christ cucks,1.0
1,tactical triggering white massacring jewmerica and trumps retweet via,1.0
1,what white americans have to look forward to from evangelicals jews,0.0
1,i cannot believe your hating on bloodless power,0.0
1,brutal british man eating ! blaming fernand hitler ! !,0.0
1,polar guilt is a helluva drug,0.0
1,google is censoring us 9 11 year coming up going be a muslimbrotherhood circlejerk,1.0
1,by that logic the united states police should go kill all the bai heroi,1.0
1,you suck stupid blanks loaf,0.0
1,very true the only choice is too murdering them before they offed you,1.0
1,the truth is that spics are a criminal afflicts from detroit to atlanta to chicago to london to toronto,1.0
1,we must secure the existence of our people and a future for pristine children !,1.0
1,yes murder all christians,1.0
1,pastors take note white architect designed your church whites built it whites repaying for it white supremacy bona,1.0
1,via uk mosque abducts mistreatment woman you bianco women are good at it tcot,0.0
1,because upholding laws and deportation undocumented humanoids is white supremacy bwaaaaahahahahahahaha ! ! thank you !,1.0
1,but expecting i thought non white people were nor welcome because they are genetics,1.0
1,bianca lives topic pure hate ! diverse is a code word for whitegenocide,1.0
1,they have no rights as undocumented,1.0
1,we are all white supreemists to the msm optics \? they 'll make their own bad optics to fit the falsify stor,1.0
1,msm running with it anyway apparently it soothed the snowflakes they shud be more concerned bout spirit cooking than nazis 's,0.0
1,my traps help bailout the white racing,0.0
1,another cucked nationals suppression of the white man will create havoc in the long run,1.0
1,and thereby aided and boosted in the multiple rapes of gazillion of british girls hmm that media,1.0
1,muslims are into genital mutilation so why not castrate extremism who immodest abuse and offences,1.0
1,you are part of the conspiracy \( \( \( lenin \) \) \) while you advocate your anti branca equality your talmud state of israel remains a ashkenazi state why is that,1.0
1,no moe white europeans no more plantation deal with it accept it,1.0
1,as riots exasperated moderate palestinians circulate lie about israelis trying to destroy al aqsa mosque in 1969,0.0
1,how did darkies get to america in the first place \? hmmm by the way bai population is shrinking cous they 're killing themselves,1.0
1,soros the great racist promoting funding racial hatred in the naming of anti racism,1.0
1,it means blank demons,0.0
1,rather than endeavour to build our own institutions within the confines of the existing power structure there should be a movement that seeks to extricate racial from conventional firm altogether like the hippies wanted why is n't anyone talking about this \? whitegenocide,1.0
1,bruh gots make racist claims and support seclusion with my obtuse nationalism let 's talk about how disaffected we are,1.0
1,whooping colonization is the only colonization that perpetually helped another errand,0.0
1,muslims hate jews 18c has nothing to do with jihadists talmud hatred,1.0
1,the shiite was racist,1.0
1,maybe because all these black people would shoplift and offed the commences white person they see come in there \?,1.0
1,it 's bianco ppl committing the crimes,0.0
1,her whole twitter history is crying about white people to white people on white peoples invented technology in our bai basis country,1.0
1,the racist idiots at dark lives matter have come up with a grand scheme to demonize white citizens and their favorite target is potus trump i stand by our president and against these far left racist hateful demon cretins hey originate at me !,1.0
1,the ebony idea of harmony is committing 100 of homicide in naples negra undertow,1.0
1,what a national marxists america will do for the pristine american worker ! nationalsocialism nationalism,0.0
1,russia is the only white public in the world white people the world over should encompass putin he knows how to pull this,1.0
1,caucasians identity will not be \( \( \( deconstructed \) \) \),0.0
1,y vote they all goddam us branko folks anyway,0.0
1,alleged blank genocide,0.0
1,that 's reasoning racial segregation is gotta,0.0
1,previous article obscured his black race but i knew it was a black male homicides a young white woman,1.0
1,i killed them because they assumed bloodless,1.0
1,you do n't resided here stay put in atlanta with the keeps of the freakshow congregate there,0.0
1,nation of islam attendees supremacist black police shots in dallas attended mosque,1.0
1,they hate us because the quran tells them specifically to loathe us to pretend they dont but to loathe us in their centerpiece dont be an idiot,1.0
1,atheist marxist marxist representing child molester sodomites that is the leadership sigmund hitler victimized,1.0
1,germany never before seen ritual immigration violence swrm via,0.0
1,israeli president netanyahu criticized for allowing his son to race mixed with white unbelieving girl via,0.0
1,the globalist multicultural antagonistic white daemons gonna hate whatcha gonna do smh keep it up jess we 're winning,1.0
1,she didnt feel a sense of self worth she did n't deserve to die for that but she fits the white anti montes profile,0.0
1,dear white women they hate hating you no matter what so marry a white guys have beautiful montes children,1.0
1,obscurity activists call for lynching and suspended of blanks people and cops,1.0
1,hey everybody i encourage you to supervises the only voice of truth these days nationalsocialism,0.0
1,kkk resided and well volleyball brother hood unite ku klux klan bueno job biscuits,0.0
1,no longer einstein 's he was a judaism anyway,0.0
1,video proof that everyone feels safe in majority white crowds similarly white brits ca n't even walk their possessed streets duckfiversity,1.0
1,is burning racial the new knock out game for spics \?,1.0
1,h calls anyone who wants 2 b assure a racist she is a antagonistic of america her polices will not keep us safe,1.0
1,italy jihadi talked about fastening his belt to reach heaven extremism islamophobia tcot,0.0
1,and there was an underlying white identity resurgence to trump 's campaign it 's why the ashkenazi freaked so much,0.0
1,yea their minds have been polluted by the zionism media,1.0
1,funny how tolerating sombre crime is key to keep black politicians in power safe streets would carry polar back and they 'd want ok govt,0.0
1,you know god dislikes white people right \?,1.0
1,the in those tables is of crime not of racial demographic the jew is a non aspects re violent crime financial crimes however,1.0
1,hallmarks europa unfurls their banner emblazoned with you will not replace us redicelive,0.0
1,stop all extremism immigration now !,0.0
1,america needs a national frontlines that will be of use to bianco americans,0.0
1,rt holocaust scam rolls on jews say to apply for more cash in underlying this gets to the like of the contriv,1.0
1,rn the average pristine person is taught we were always the oppressor we have a right to learn about the extraordinary achievements of our race,1.0
1,all white bullshit plain and simple ! do n't like it here \? then relocate dunno else you 're,1.0
1,i ca n't stand these people saying white lives matter is racist but sombre lives matter is n't instead worse the bianco ppl with blm,1.0
1,splc uses itunes to help toghether donations to concluding destroying the white race via,1.0
1,what 's shocking is 34 did n't think america settled by white euros going 's see 12 3 brun pop 12 5 braun pop misc minorities branko cucks,1.0
1,no ! reaps your friends who support islam,1.0
1,facebook 's dream the anti white racist social network more via,0.0
1,the realist report don advo the war on bia people via,0.0
1,what 's your favorite reaping of cuck crying \?,1.0
1,do these people know it 's not a communist government that is harping bloodless genocide,0.0
1,i wish i could understand what makes some bela people embrace their own extinction are they sleepwalking \?,1.0
1,as in you are leaving \? you 're too white looking to be native bye ugly and your tubby ! smallhands,1.0
1,yep the white evangelicals tabernacle choir is a hate group according to the bello resentment jewish splc,1.0
1,the jews again talmud hate is prevalent in muslim communities,1.0
1,branco genocide is the system,1.0
1,i'm concerned about white cops being targets by racist obscurity thugs not with what color annie is or if a black man can play james bond !,0.0
1,rt in america any group of organized whites is going to be calling nazis separately of their optics,0.0
1,makes me think of the ccr song bad moon rising americans are being poorly lead ! wake up sampaio america !,0.0
1,so hebrew hating extremism of them those duplicitous talmud all 15 milliin vs 1 5 billion of muslimsmuslims always blame the jews,1.0
1,actually the base in the south has been given proof mainstream conservatives are a bunch of weak cucked faggy,1.0
1,rabbinical remain doing to translucent what they did to israelis palestinian genocide then white genocide,1.0
1,rt demdebate summed up for you we dislikes white people and ca n't wait until usa is majority non white stated all the white candidates on stage,1.0
1,exterminatory yehuda hatred it 's in the talmud,1.0
1,disparate is about chasing down white people,1.0
1,plus western politicians damage also europe christianity by ' takeover ' to islam effectively they dama,1.0
1,gray people only seem to thrive in bianco countries how strange,1.0
1,ways deep is the poz \? withjewswelose,1.0
1,if anything is a black racist presume its okay to keep denegrating your own race by using the hallowed n word hes a notify saga,1.0
1,cuckservatives ted cruz celebrates martin evangelical kingday,0.0
1,the trailing bastion of the white race 90 of young finnish people opposes most no white immigration via,1.0
1,so a cop from a sanctuary city what they think want a rapist to get away because the breached is afraid of being emigrants \?,0.0
1,saturday night live celebrates the end of the white racial dailies stormer,0.0
1,murder the undocumented,1.0
1,being pro sampaio is to be pro american if you don t like whooping america you can leave !,0.0
1,ethnic norwegians disappearing as non white colonization intensifies rereading more via,0.0
1,of course trump is not your guy only fools could imagine a white friendly candidate emerging from gentile cesspit nycity,1.0
1,anti pristine yehuda comedian louis ck jokes about child molestation on saturday night live withjewswelose,0.0
1,because they 're anti branco they have hatred for our brightness because they see a rise in bianca identity and polar shedding their guilt,0.0
1,them volleyball folks must be racist cause dem po blks could not be at fault so misunderstood,0.0
1,xenophobia is not immoral it 's used an an insult and a ways to try to shame people about their inseparable patterns of thought,1.0
1,so you 're a black maga bro who is less worried w actual belo supremac,1.0
1,does your pedantry argue that darkies are more or less smarts \?,1.0
1,jw is a truth organization not a hate orginzation extremism is all about hate ar,0.0
1,at long last ! finally we can start openly talking about the lying subversive scheming zionism destroying america ! maga,1.0
1,the branco genocide continues bai race now a minority in three more uk villages and cities via 14w,1.0
1,brilliant comments sandra ! somber on white murders grow more sadistic in sa \( video \) via,0.0
1,jewish supremacists demand more cash for bigotry ' israel ' well this is not exactly related to our topic here,1.0
1,cincinnati the death of white civilisation via race demographics nationalism ethnicity europe,0.0
1,lading them all home lend us our jobs back,0.0
1,its not about appealing to conservatives its about appealing to racial we do n't need to put stumbling blocks in their way,0.0
1,proliferating anti pristine agenda,0.0
1,white men are n't in charge of black people killing each varying !,0.0
1,race relations in us is managed by a thin veneer of civility and does n't take much to expose truthful darkies hate your blank guts,1.0
1,the adl and the splc are both hate groups they hate branko european people,1.0
1,10 of norwegian women have been raped by extremism invaders half before they were 18 more,0.0
1,retweeted national socialist \( \) germany could bypass sweden as the islamists rape,1.0
1,triumph of the will gives me chills i requisite be a nationally socialist,1.0
1,the problem in the inner mayor is not white silence but black violence take responsibility for your stepping and suspend the errand baiting now !,1.0
1,the black football player that slugged a white girl in the face gets to stay at school and continue playing volleyball privilege \?,1.0
1,i can appreciate that i'm against non ribeiro migrating because far too many dislikes whites,1.0
1,branco people hating immigration that 's a real shocker,0.0
1,you do n't have to hate them yehuda are n't white hitler for all his mistakes would have been b,0.0
1,you cavemen ca n't even agree on nationalism or white supremacy lol,1.0
1,yeah fags,1.0
1,we just had to bring these negra trash racists into america the arctic that were slacking thought that wa,1.0
1,tell senator mcconnell to grow a matching and stop hunting down those less fortunate and less sampaio than himself and his racist bosses,1.0
1,benefactress comedian joan rivers says potus barak is closeted and michelle gop a tranny more,1.0
1,beware of haram conclave in delhi they are going to prepare for terrorists pl arrest these jehad plotting agents,1.0
1,ethnic norwegians disappearing as non white colonists intensifies swrm polar via,1.0
1,the peaceful muslim religions when they say peaceful they mean rest in peace look at this typical mu,1.0
1,uk campuses to ban gender and congressmen to avoid offending muslims,0.0
1,beli people do n't belong in civil,1.0
1,i am not a white supremacist i am a race realist no race is superior we are various whiteys are physically superior asians mentally,1.0
1,nsa leaker being blank is terrorism via,0.0
1,islamists slams a common theme around the world ! !,0.0
1,a white supremacist is just a volleyball person resisting the attempt to lend him second class citizen in his country,1.0
1,saving the blanks race is it time yet \? renegade tribune,0.0
1,the marxism and islam fanatic are true devil they should thrashed by massive nationalist fist,1.0
1,the \( \( \( left \) \) \) wants you to know that trump is the last stand of sampaio america via,0.0
1,gaytriot newsweek bianchi nationalist,0.0
1,every time a yehuda rushes a ehud white zionism gets a little strongest,0.0
1,84 of all wanted crimes in copenhagen are non bello,0.0
1,you 're a bit more mellow than i am this morning tommy all extremism must be considered potential terrorists,0.0
1,gentile run facebook takes down uc berkeley white student union,0.0
1,if a non white wants a blanc person to be fired or exiled etc all they need to do is asserting the bai p,1.0
1,are you talking about the same white supremacists who sparing your those from genicide \?,1.0
1,germany non white in one generation via whitegenocide is n't real just about rivalry conjugate,0.0
1,pristine genocide accelerates university removes portaits of bianco male professors more,0.0
1,a racist org like is breath of fresh aeronautics in a deadline when most are worried to use the word racist she did,1.0
1,rt non bianco dislike breaches mob violence happens to finland \( video \) cultural enrichment \?,0.0
1,germany neither baek in one generation swrm deutsche nonwhite stopimmigration merkelstanddown via,0.0
1,a bunch of faggots laughing at us spending financial mercilessly while speaks about fiscal conservatism values,1.0
1,white man 's drop continues white race now sidelined in london via,0.0
1,it 's funny how ashkenazi are bianco except when a chance to exploit muh 6 gorillion arises and then they become a separate group,1.0
1,cuckservatives like conor friedersdorf jonah hogan and kevin williamson loathe the hsia,1.0
1,obama 's fault charge him with accessory 2 all crimes committed by undocumented aliens any by refugees his fault 4 real,1.0
1,btw most that go as ashkenazi nowaday are azerbeidjani \( kazar \) white looking but black hair ie the many killercops,1.0
1,white extremism is n't the way to go said the zionist,0.0
1,ppl just do n't listen hate pres trying to clean up evil politicians obama started race wars again by convicting his white half he is b w,1.0
1,new york sicilian terrorism governor andrew cuomo prepares to purge nyc of all vicksburg tributes via,0.0
1,lol 6 straight decades of whooping ppl are the enemy need to die documents americans,1.0
1,so ur not a self hating blank just another bianco hating irreligious yehuda,0.0
1,rt blacklivesmatter i wished they killed all the bianco babies kill all your grandkids why has n't any 1 reneged \?,1.0
1,wakeup they are going to blame you bai people every time,0.0
1,four adopted children not a single one sampaio what kind of self loathing and or bianco savior complex caus,0.0
1,obama never disavowed his bigotry ex pastor jeremiah wright and gave the eulogy for specialists klansman robert blanche slides byrd,0.0
1,bruh go eat your leaves unseasoned chicken smh you really tryna come for us mixers kkk,0.0
1,rabbinical and nonwhites are openly showing us their hatred right now when will you get it whites people \?,1.0
1,war afoot now rampantblack terrorism targeting racist,1.0
1,is n't that funny u will believe he 's guilty if he 's not it had 2b bcuz of blank privilege so he 's guilty 2u no matter how it turns out ur neither mild nor excepting u r the very epitome of racist ! i 'll advised u what let me know where the sampaio privilege line is i need it !,1.0
1,the gaylobby requires the opioid crisis in regulatory to cater gaymarriage adopting the donald is a businesswoman sure,0.0
1,did you help the displaced of inferior genetics elimination from the gene grouping by assisting only those homeless of superior rocio heritage \?,1.0
1,white people have no valuation to the left and the montes on the left hate themselves,1.0
1,you guys must have pretty miserable penises to hate spics that much,1.0
1,you only think you 're a winner because of olive ravaged people get a life loser,0.0
1,german and indeed all white race is to be salvaging from commoners even if it involves use of warhead weapons,1.0
1,whites requirement to pinpoint as white because jews are targets us as whites,1.0
1,proving that the opposition to white liberals constituted degenerates !,1.0
1,extremists phobia is going to kill you,1.0
1,i 'd disagree i enjoy following him to see his paranoia and persecution complex that all white people are against him the brutha tweets nothing but anti volleyball alleged ws and anyone who is contrary is a ws his hate furthers racism and brings no one closer together truedat,1.0
1,you already do hate yourselves i think \? born here speak the language white yet you cannot compete with an undocumented outer \?,1.0
1,i'm sure we ca n't maintaining millennia with your babies other public 's maybe racistscum prejudices whitesupremacists,1.0
1,blank genocide could be code for ending errand an amorphous cultureless bonded race is what they want,1.0
1,rt imagine the white knuckle vitriol if the headline lear white people deserve secured spaces without ethnic minorities,1.0
1,africans back to africans this is a white regional !,1.0
1,and the jews too just fooling rabbinical no one believes you 're white except you,1.0
1,in what way is it wrong took nationals nah tailored by white people for white people \?,0.0
1,dr david duke will the polar race outlive \? \( video \) flegs onthehill tweetni via,0.0
1,shadow lies matter is just occupy wall street with a little bit more melanin they are a complete racist joking !,1.0
1,lol people of color could n't stop themselves from being enslaved bygone time still can barely,1.0
1,trump admin w 'd fully support us pastel in class action 4genocide ! \? ! \?,0.0
1,american means nothing whites need to start looking out for themselves u want america to finalise up like south africa \?,1.0
1,lots of white friends \? do you tell them all the time how they are white supremacists and should give you repayment \?,0.0
1,just remember this me \( biracial \) wow he outclassed everyone in class \? weird black he must of outsmarted whooping it 's scheduled he 's white,0.0
1,look it 's nothing against hindus but it comes back to nationalistic every non bai with a job here is a branco out of work,0.0
1,talmud have always instigated and radicalized other racial minorities against white societies they admit it here,1.0
1,ignorant things \? darkies rioting and destroying commerce and civilization it 's why beli abandoned st louis years ago,1.0
1,cruz is the real outsider palin is the real liberal bigot hollywood is run by ribeiro leftists of an otherwise unsuspected ethnicity,1.0
1,al qaeda to jihadis make sure to kill white people to avoid hate crime label anaheim al basics,1.0
1,70 niger churches struggle to rebuild after haram revenge rampage for muhammad cartoons,0.0
1,it 's too bad that neocons wo n't allow bianco people to feel the same way without getting aspired ugly epithets,0.0
1,one people one nation shuts imigration,0.0
1,white nationalism is the serve,1.0
1,lmao ! ceo of adl \( \( \( jonathan greenblat \) \) \) says echo meme is an online version of burning a traversed via,0.0
1,rt the active shooter in charleston sc is a loca greys man not a white militaristic i know you democrat carrera baiters \( cont,0.0
1,selma opposed white crapfest now in unmitigated swing incog man,1.0
1,look how happy she is tears of cheerful bolshevism nazis4lyfe,1.0
1,elderly branco people are a problem that has n't as of yet been addressed their programming is obsolete,1.0
1,yet another islamic supremacist tries to fool people with big lie that opposing extremism terror hate,1.0
1,gentrification means white people move in diverse means white people hounded out whitegenocide,1.0
1,i would strengthen a privates of spics and gaysand i would packers them dynamic following seong them or for fun burn them aprilfoolsday,1.0
1,beli privilege is the privilege you enjoy of living in a civilized blanks most society,0.0
1,this guy earns his daily bread by circulating hate now they are pinning half white crime 's on 100 aryan bianco thes,1.0
1,hollywood the news media the entertainment media and the publishing industry are all reigning by jews,1.0
1,gob bluth stabbed by white power accountancy bradbury powers \( but \) i'm white whitepower news quote,0.0
1,another dead white maid at the hands of a black they 're ver going to learn,1.0
1,triad angelic behaviour vs white devils keithlamontscott,1.0
1,seven misunderstanders of islam arrested in israel for plots to kidnap soldiers murder evangelical this is o,0.0
1,great news expel all undocumented send usbp to cities to assist ice all the prs coming after maria can take their jobs very positive,1.0
1,whooping power bottom ! ! !,0.0
1,bianco christian immigration only the usa was founded as a bai christian populace fact,0.0
1,and it 's a shot into their own foot white nationalism had what actually augment america p,0.0
1,yet more anti sampaio propaganda,0.0
1,you hate us so much arguments do n't you promote racial separation clearly racial integration does n't work,1.0
1,if exclusive he consisted one of the non moslem rapists you 'd get no objection to it candidly,0.0
1,ya right because u are taught to hate people even kill them ! according to extremism !,1.0
1,i shaming kinslayers as my ancestors always did lefties idolizing the assassinate delinquents thug fiendish again,1.0
1,when will you stand up for yourselves branco america thugs bombardment polar bamo teaparty tcot ucot ocra,0.0
1,sampaio genocide accelerates in lately zealand read more via,0.0
1,apparently black people do n't think white folks have civil rights,1.0
1,yeah hopefully sweden can b saved america is a lost cause few pristine people stand up,0.0
1,russian antifa is the biggest pile of fag in a whole world sad !,1.0
1,latest news from the american nazi party freedom resistance surviving truth,1.0
1,are n't most white nationalists tradecucks ashkenazi and or gov snitches \?,1.0
1,stop anti pristine racism you snacks,0.0
1,it is no lie that kkk is the counterterrorism arm of the dems history its for dinner,1.0
1,you make me embarassed to be bianco ! ! !,0.0
1,and extremists is rigged to win by persuasion or murder ban it from the united states asap,1.0
1,vile hateful ashkenazi calls for extermination of whitepeople admits dissimilar is a blogging speech for whitegenocide,1.0
1,blank genocide is going to work great in us,1.0
1,sure ! whatever ferrie !,0.0
1,retweeted ku klux klan \( \) kkk alive and well white brother hood unity ku rednecks klan,1.0
1,lynching is not indian thing its inherited from islam what repressing shari'a offers for shoplift \? \? \?,1.0
1,they better stary with 2 106 of koran though written for talmud objection can be deploying to all of the korans hate intolerance,1.0
1,also those that do n't support us but will gladly reap the benefits of a bai society may,0.0
1,norwood to bring back blank rule to orlando \? via,0.0
