text,label
propaganda photo to make white people appear humiliated . sorry  not applicable here .,1
all the volcanoes are in that area  you want to genocide us white ppl ? lol,0
sorry  i don't buy this . anarchists are at war with isis in syria . they're soft on islamism but not the isis variety .,0
trumpkin thinking for sure ! funny !,0
are you not happy you whites do not need welfare . change places .,1
white people kill each other more ! whites killed other whites in world 1-2,0
sorry but jews aren't white,1
our cities were actually livable when they were run by those ebil racist white soopremacists,1
. 6219  408 ? 5895  116 ? what's the actual figure  jews ? what's the actual total  bought politicians ? exactly 6 mil  sheep ? #lies,1
enjoy your white genocide,1
no doubt trump not calling out antifa / leftists violence has emboldened the little domestic terrorists . great job  trump !,0
can we trade a few busloads of the white southern cucks to get her on team white ?,1
yes  white people are the most pathetic people in the entire,1
coming to america and worse ! isis flag over the white house . thanks dumbocrats !,0
weird how they tolerate sharia  but not white nationalism  or even white refugees .,1
rashard wright is an antiwhite extremist at #wearevbschools he actively promotes black issues & white guilt . this is why,0
why white people seek black privilege - breitbart,1
" what hateful ideology ? recognizing your open lies ?  "" christmas is not a european tradition "" "" - yes it is  as countless historians have documented it's rise in rome and dissemination throughout the european continent and the world  at the hands of europeans . """,0
millions huh ? haha . the people he killed & his theory behind how to protect the existence of the white race is why,0
so what happened today ? what did the court say ?,0
long live red white and blue  white signifies purity and innocence ; red  hardiness and valor ; blue  vigilance  perseverance  and justice,0
good ! i hope we dont have anything to do with such an evil man,0
he's a shameless israel first cuck  masquerading as some sort of libertarian thought leader,0
lame as attempt at black speak ... white people ...,0
thank you - i didn't know that part of the story . likely if most immigrants were coming from ireland / poland there wouldn't be such craziness,1
soooo.who would go to the white house ?,0
im so glad people are realizing this is not a black / white / brown issue but a struggle,0
mostly white flight sadly  this is a beautiful state  invaded by idiots and 3rd world,1
can you name any such antifa groups ? because all i've heard in the media are about violent alt right nazis .,0
religious freedom law struck down in mississippi,0
: it's a university . universities  no matter where they are  are always more liberal than their surrounding communit,0
gujarat has donated more than 8 lacs unit of blood last year & more importantly 1.3 % of total population of state came forward 2 donate blood,0
utah is the most cucked state in america via #latterdaysnakes #cuckservatives #mormons #trump2016,1
save the white aryan woman from extinction : only two percents of the world's population via #wpww,1
dallas shooting suspect micah johnson wanted to kill white people will spin this  blame guns,0
even better town . george wallace was from clio,0
know ... what #modi ji has done for hindus so far ! ! . 1 ) more than 30000 ngos are banned which causes christian ...,1
white nationalists are threatening civil war if america doesnt become racist .,0
profiteers ? nonsense . there is no money in #altright . we fight for freedom  not money .,1
asia for the asians ! africa for the africans ! white countries for everyone ! diversity means #chasingdownwhites . #whitegenocide,1
white supremacists hate providing sources once they have been exposed for making up random i say so claims - they spend so much time memorizing the white supremacists the talking points  they never have time to source it,1
new video from of on the #waronwhites - #tcot #tgdn #nrx,0
then you own your own venue for meetings and socials . white patriots need such facilities !,0
great quotes al the time.this is more white people trying to tell everybody what's best.they don't know what black people want,0
#altright are the only true right . the gop are marxist diversity enablers . white america deserves better than this !,1
fake government and bogus media - renegade tribune #withjewswelose,0
" the whole  "" states ' rights "" "" issue was over the rights of the states to allow people to own other people as property . """,0
stalin and mao were feared but fuhrer was adored by his people . look at his charms .,0
unless a candidate declares clearly + openly he is for the white race you can be sure he isn't and won't do squat,1
real headline : potus baits social conservatives about gender-pacolypse to distract from epic fails .,0
jew  white and damned proud red  white and blue gun totin ' pick-up drivin ' south texas redneck here . but of euro ancestry,1
i guess southerners mock tax cuts like wallace is doing too huh .,0
we have lots of good people in atlanta though,0
#cuckservative in the new york times via,1
i'm white stupid . tell you what  we will give you an extra welfare check and you move to a white country .,1
twelve incredibly british phrases the rest of the world doesn't understand,0
do white lives have any value ? your thoughts ?,1
how come you hate muslims so much ? i thought white supremacist nazis like you hated jews,0
trump is a racist . that has never changed . he always was . him at the wh empowered these fringe groups to show their face in the open,0
add me on xbox my gamertag is : flwz h y p e z,0
fair's advertisements have been rejected because of racist content . fair leaders have ties to white supremacists groups .,0
heroic 13 year old white girl stops brutal black robber-killer in south africa ! read more : via,1
but monarchy stabbed white people in the back tooemperors have stabbed white people in the backno e,0
the statistics didnt say that . but the people perceives more violence due above all to the african migrants,1
jewrys move to shut down online anti-semitism via,0
a racist  islamophobic  zionist kook like you should love muslims like . they're your undeclared allies  embrace them .,1
senate has the votes & should improve ( reconciliation ) bill to repeal obamacare  keep #defundpp - david christensen,0
what if she's just human with flaws ? don't let #maga be only for white people .,1
" it would have much more success with normies and i don't like being rude or hating non-whites who are sometimes decent people ... inb 4  "" cuck "" "" """,1
and you sound like a leftist shill who stabs people in the own ranks for no good reason at all .,1
why did he first call white people n * * * a ? ? ?,0
" so your source is the known for their white nationalists views and support of race realism  "" pseudo science ? "" "" """,0
mixing of white and non-white is wrong nothing good comes out of it !,1
sheesh . is there not one sane female ' news ' person on ? they're all stupid  racist bimbos . profiling white men ? good luck with that !,1
couldn't agree more ! that is why he is white trash  for speaking like that !,1
very active in the sixties  seventies and up to early eighties . published the thunderbolt newspaper . hq was in ga,0
goals of eradication of poverty  better quality of life  strong nation are clear . it is the method that requires genius .,0
according to leftists  we need to get rid of white people in general . you have legitimized white nationalism . thank you .,1
looks like white have nots .,0
you think fb is anti-white ?,0
i've been harassed by white dudes . didn't make me hate all white ppl . just the racist ones,0
i'm randomly on a white power racist website and find this ! ! ! : adolf hitler smiley face t-shirt,1
so islamic terror is not a race & yet i'm a racist ? you're deeply confused .,1
of course you kill palestinian kids,1
" the only people who think you can have  "" equality for everyone "" "" are people who dont believe in anything """,0
how ironic a group called anonymous is robbing another group of their anonymity : ~ + #hoodsoff #kkk,0
there are no white people holding you down in jamaica or zimbabwe or ethiopia or liberia . #freedomfailed,1
14 reasons i am a white nationalist | stand or die,0
compare what happened to jew_goldstein to the violence we routinely see from black lives matter and antifa,1
islam is full of child molesting faggots . #mohamedsucksdick,1
i'm anishinaabeg from deshkan ziibi . goodnight white pride !,1
the worst part about ' doxing ' antifa is that they can't really suffer social or employment consequences,0
