label,text,model_pred
1,are you not happy you whites do not need welfare . change places .,0.0
1,sorry but jews aren't white,1.0
1,our cities were actually livable when they were run by those ebil racist white soopremacists,1.0
1,. 6219  408 ? 5895  116 ? what's the actual figure  jews ? what's the actual total  bought politicians ? exactly 6 mil  sheep ? #lies,1.0
1,enjoy your white genocide,1.0
1,can we trade a few busloads of the white southern cucks to get her on team white ?,1.0
1,yes  white people are the most pathetic people in the entire,1.0
1,weird how they tolerate sharia  but not white nationalism  or even white refugees .,1.0
1,why white people seek black privilege - breitbart,0.0
1,thank you - i didn't know that part of the story . likely if most immigrants were coming from ireland / poland there wouldn't be such craziness,0.0
1,mostly white flight sadly  this is a beautiful state  invaded by idiots and 3rd world,1.0
1,utah is the most cucked state in america via #latterdaysnakes #cuckservatives #mormons #trump2016,1.0
1,save the white aryan woman from extinction : only two percents of the world's population via #wpww,1.0
1,know ... what #modi ji has done for hindus so far ! ! . 1 ) more than 30000 ngos are banned which causes christian ...,0.0
1,profiteers ? nonsense . there is no money in #altright . we fight for freedom  not money .,0.0
1,asia for the asians ! africa for the africans ! white countries for everyone ! diversity means #chasingdownwhites . #whitegenocide,1.0
1,white supremacists hate providing sources once they have been exposed for making up random i say so claims - they spend so much time memorizing the white supremacists the talking points  they never have time to source it,1.0
1,#altright are the only true right . the gop are marxist diversity enablers . white america deserves better than this !,1.0
1,unless a candidate declares clearly + openly he is for the white race you can be sure he isn't and won't do squat,1.0
1,jew  white and damned proud red  white and blue gun totin ' pick-up drivin ' south texas redneck here . but of euro ancestry,0.0
1,#cuckservative in the new york times via,
1,i'm white stupid . tell you what  we will give you an extra welfare check and you move to a white country .,1.0
1,do white lives have any value ? your thoughts ?,0.0
1,heroic 13 year old white girl stops brutal black robber-killer in south africa ! read more : via,0.0
1,the statistics didnt say that . but the people perceives more violence due above all to the african migrants,0.0
1,a racist  islamophobic  zionist kook like you should love muslims like . they're your undeclared allies  embrace them .,0.0
1,what if she's just human with flaws ? don't let #maga be only for white people .,0.0
1," it would have much more success with normies and i don't like being rude or hating non-whites who are sometimes decent people ... inb 4  "" cuck "" "" """,0.0
1,and you sound like a leftist shill who stabs people in the own ranks for no good reason at all .,1.0
1,mixing of white and non-white is wrong nothing good comes out of it !,1.0
1,sheesh . is there not one sane female ' news ' person on ? they're all stupid  racist bimbos . profiling white men ? good luck with that !,1.0
1,couldn't agree more ! that is why he is white trash  for speaking like that !,1.0
1,according to leftists  we need to get rid of white people in general . you have legitimized white nationalism . thank you .,1.0
1,i'm randomly on a white power racist website and find this ! ! ! : adolf hitler smiley face t-shirt,1.0
1,so islamic terror is not a race & yet i'm a racist ? you're deeply confused .,0.0
1,of course you kill palestinian kids,1.0
1,there are no white people holding you down in jamaica or zimbabwe or ethiopia or liberia . #freedomfailed,0.0
1,compare what happened to jew_goldstein to the violence we routinely see from black lives matter and antifa,1.0
1,islam is full of child molesting faggots . #mohamedsucksdick,1.0
1,i'm anishinaabeg from deshkan ziibi . goodnight white pride !,0.0
1,cops kill more whites than blacks .,0.0
1,because it offends leftist shitlib sensibilities  white people,0.0
1,repeal all gun and drug laws . problem mainly solved . most black people  unfortunately  support the wars on both,0.0
1,three cheers for for daring to stand up for a people who are targeted for the ash heap of history . #globalwaronwhites,1.0
1," jewish activist on tv show says   "" low white birth rate a good thing "" "" | read more : via """,0.0
1,tickling the surface of those out to kill us all #rt #stopislam #makedclisten #bansharia,1.0
1,come join the wkk white killer klan,1.0
1,milo literally said he lost his virginity when he was 15 in a 5some.poz af .,1.0
1," rt :  "" tribute to rudolf hess "" "" t-shirt from the white resister """,0.0
1,without white people to support blacks  blacks would go extinct in 6 months . they are too d,0.0
1,global warming and other natural phenomenon are beyond control of jewish media  stop the fraud of climate change,1.0
1,another white male kills in historic numbers .,0.0
1,i see white children living happily in white countries . white countries must return to being white .,1.0
1," - seems lgbt activists only want a  "" queer-ocracy ; a totalitarian state where all submit to them or be punished . sad ! """,1.0
1,is it denial or acceptance > a likeness btw obama & hollande ... fix immigration stop radical islam control in us,0.0
1,call them what they are - they are anti-white they want to turn every european / white country non-white  that's where all their policies lead to - they need to be on the defense for pushing genocide  you should be on offense,1.0
1,aids skrillex & carl the cuck : you're a white male,1.0
1,this is stupid . ignorant white trash want the wall .,1.0
1,ramadan begins in afghanistan : muslim murder 18 with jihad suicide car bomb,1.0
1,80 % of americans face near - #poverty . do you want a better america ? join the american #nazi party today,1.0
1,must must must read . mt you're allowed to speak about jihad violence in uk  as long as you're for it .,0.0
1,when a british prime minister praised adolf hitler as greatest living german #swrm via,1.0
1," some #liberal extremists actually believe a thing called  "" white privilege "" "" exists in america  when in #fact the opposite is true . #tlot """,0.0
1,mt . any religion is better than islam . #tcot #bansharia #banislam,1.0
1," would he do this to a non white family ? white people are thought of as  "" easy targets  "" "" because many are """,1.0
1,#israel # : israel : muslim fakes hate attack by extremist jews what about the real ones who kill babies ?,1.0
1,california is an anti-white state . theblaze,0.0
1," neocons want  "" white trash "" "" to fight russia """,0.0
1,: exactly . the more these people kvetch the more excited i get for #unitetheright .,0.0
1,of course white people have the right to exist  because modern civilization makes us white,0.0
1," rt : .  "" kill any jew who falls into your power "" "" - muhammad in """,0.0
1,it was just him surrounded by cucks and bannon  flynn and sessions . flynn is gone . sessions is now the target,0.0
1," rt the #kosher food #scam getting into prisons .  "" demands for kosher food hiking prison costs "" "" #judaism #greed """,
