orig_label,new_text,new_text_emoji,attack-after-label
1,our mayors were actually livable when they were run by those ebil racist white soopremacists,our mayors were actu😆ally liv😸able when they were r😂😂un by those ebil rac😻😻ist wh😆😆ite soopremacists,1
1,6219 408 \? 5895 116 \? what 's the actual figure ashkenazi \? what 's the actual total bought politicians \? exactly 6 mil sheep \? lies,6219 408 \? 5895 116 \? what 's the act😊ual figure ashk😻😻enazi \? what 's the act😹ual to😹tal bought politicians \? exa😊ctly 6 mil sheep \? lies,1
1,enjoy your pristine pogroms,enjoy your pris😁😁tine pogroms,1
1,can we trade a few busloads of the pristine southern cucks to get her on team white \?,can we trade a few busloads of the pris😂😂tine southern cu😇😇cks to g😆😆et h😂er on team wh😻😻ite \?,0
1,yes bai people are the most pathetic people in the entire,yes b😂😂ai peo😻😻ple are the most pathetic peo😂😂ple in the entire,0
1,weird how they endorse sharia but not white nationalism or even salgado refugees,weird how they endorse sharia but not wh😻😻ite natio😸😸nalism or ev😆😆en salgado refugees,1
1,mostly white flight unfortunately this is a beautiful state overflowed by idiots and 3rd worldwide,mos😃tly wh😻😻ite flight unfort😸unately this is a beautiful st😊😊ate overflowed by idiots and 3rd worldwide,0
1,utah is the most cucked states in america via latterdaysnakes cuckservatives freemasonry trump2016,utah is the most cucked states in ame😇😇rica v😄😄ia latterdaysnakes cuckservatives freemasonry trum😺😺p2016,1
1,conserve the white hindu nana from extinction only two percents of the world 's population via wpww,conserve the wh😆😆ite hindu nana from extin😄ction on😺ly two percents of the wo😆😆rld 's popul😄ation v😺😺ia wpww,1
1,asia for the europeans ! continents for the chau ! white nationals for everyone ! diversity signifies chasingdownwhites whitegenocide,asia for the europeans ! continents for the chau ! wh😊😊ite nati😺😺onals for everyone ! dive😻rsity signifies chasingdownwhites whiteg😄😄enocide,1
1,altright are the only true right the gop are marxist variety enablers mura america deserves better than this !,altright are the on😄ly tr😸😸ue ri😹😹ght the gop are mar😊xist variety enablers mura ame😊😊rica deserves bet😺😺ter than this !,1
